"Processo","Titular","Localidade","Guia","Substancia","QuantidadeMinerio","DataPublicacao","Prazo","IndicaProrrogacao"
"860.607/2003","EXTRAÇÃO GOIANA DE AREIA OURO BRANCO LTDA.","ÁGUAS LINDAS DE GOIÁS/GO","67","areia","8000 t","19/01/2010","10/09/2010","Não"
"860.630/2003","PEDRAS MULTICORES LTDA","PIRENÓPOLIS/GO","109","Quartzito","16.000 toneladas","27/10/2011","12/03/2012","Não"
"860.631/2003","PEDRAS MULTICORES LTDA","PIRENÓPOLIS/GO","97","Quartzito","16.000 toneladas","27/10/2011","12/09/2013","Não"
"860.745/2003","D. L. DO PRADO M. CONSTRUÇÃO","EDEALINA/GO, PONTALINA/GO","1","AREIA","11.205 TONELADAS","17/02/2012","10/08/2012","Não"
"860.891/2003","LEVANTINA NATURAL STONE BRASIL LTDA","MONTIVIDIU DO NORTE/GO","88","Granito","16.000 toneladas","17/10/2011","20/07/2012","Não"
"860.891/2003","MINERAÇÃO E EXPLORAÇÃO GAMMA LTDA","MONTIVIDIU DO NORTE/GO","38","GRANITO","2.240 TON","25/10/2010","09/06/2011","Não"
"861.188/2003","JOSÉ EUSTÁQUIO DE SOUSA","CUMARI/GO","28","AREIA","8.000 toneladas","06/07/2016","16/05/2017","Não"
"861.188/2003","JOSÉ EUSTÁQUIO DE SOUSA","CUMARI/GO","47","47/2014 (AREIA) e 48/2014 (CASCALHO)","47/2014 (13.500) e 48/2014 (1.350) toneladas","24/09/2014","06/08/2015","Não"
"861.315/2003","AREAL MINAS GOIÁS LTDA","CRISTALINA/GO","114","Areia","50.000 toneladas","08/11/2011","28/09/2012","Não"
"860.165/2004","WESLEY JOSE DA SILVA - ME","ARAGUARI/MG, CUMARI/GO","54","AREIA","50.000 toneladas","11/12/2014","12/09/2015","Não"
"860.175/2004","LUIZ HUMBERTO DE OLIVEIRA ME","VICENTINÓPOLIS/GO","16","BASALTO","15.000 toneladas","06/07/2016","01/03/2018","Não"
"860.190/2004","AREIA MENEZES LTDA ME","ARAGUARI/MG, ANHANGUERA/GO","13","Areia","25.506 t","20/06/2018","10/06/2019","Não"
"860.202/2004","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","DIVINÓPOLIS DE GOIÁS/GO, SÃO DOMINGOS/GO","40","calcário","19000 t","19/01/2010","25/03/2010","Não"
"860.253/2004","LUIZ AILTON NUNES","JATAÍ/GO","45","cascalho/areia","7000/30000 t","19/01/2010","01/06/2011","Não"
"860.253/2004","LUIZ AILTON NUNES ME","JATAÍ/GO","77","AREIA","30.000 toneladas","11/12/2014","18/10/2015","Não"
"860.308/2004","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CUMARI/GO","7","AREIA","10.000 toneladas","30/05/2014","20/01/2015","Não"
"860.308/2004","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CUMARI/GO","7","cascalho/areia","8500/50000 t","19/01/2010","04/11/2010","Não"
"860.308/2004","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CUMARI/GO","48","Areia","50.000 toneladas","27/09/2012","29/08/2013","Não"
"860.309/2004","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CUMARI/GO","12","Areia","50.000 toneladas","27/10/2011","08/11/2011","Não"
"860.309/2004","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CUMARI/GO","52","Areia","50.000 toneladas","27/09/2012","29/08/2013","Não"
"860.309/2004","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","ARAGUARI/MG, CUMARI/GO","5","areia/cascalho","50000/8500 t","19/01/2010","04/11/2010","Não"
"860.404/2004","LMF IRMÃOS EXTRAÇÃO COMÉRCIO E TRANSPORTE DE AREIA LTDA","URUTAÍ/GO, PIRES DO RIO/GO","3","AREIA /CASCALHO","45.000(AREIA) e5.700(CASCALHO) toneladas","26/02/2013","30/11/2013 E 30/11/2013","Não"
"860.975/2004","DAGMAR SANTANA GODINHO","PIRENÓPOLIS/GO","99","Quartzito","8.000 toneladas","27/10/2011","12/03/2012","Não"
"861.013/2004","DW COMÉRCIO DE AREIA E TRANSPORTE LTDA","ITAPURANGA/GO","10","Areia","10.400 toneladas","27/10/2011","11/11/2011","Não"
"861.158/2004","CONCREMAX ENGENHARIA, CONCRETO E MATERIAIS LTDA","MINEIROS/GO, PORTELÂNDIA/GO","1","areia e cascalho","45000 e 7500 t","19/01/2010","20/11/2010","Não"
"860.047/2005","MINERAÇÃO BATALHA E PARTICIPAÇÕES LTDA.","CRISTALINA/GO, IPAMERI/GO","96","calcário corretivo de solo/30000","20000/30000 t","19/01/2010","05/10/2010","Não"
"860.159/2005","PH INVESTIMENTOS E PARTICIPAÇÕES LTDA","CAVALCANTE/GO","13","MINÉRIO DE MANGANÊS","6.000 toneladas","19/08/2015","25/11/2016","Não"
"860.159/2005","BRASIL MANGANES LTDA.","CAVALCANTE/GO","14","Minério de Manganês","6.000 t","10/07/2019","12/07/2023","Não"
"860.160/2005","BRASIL MANGANES LTDA.","CAVALCANTE/GO","15","Minério de Manganês","6.000 t","10/07/2019","12/07/2023","Não"
"860.160/2005","PH INVESTIMENTOS E PARTICIPAÇÕES LTDA","CAVALCANTE/GO","11","MINÉRIO DE MANGANÊS","6.000 toneladas","19/08/2015","25/11/2016","Não"
"860.367/2005","ALMEIDA E BARBOSA DE OLIVEIRA","GOIANDIRA/GO","71","areia","30000 t","19/01/2010","04/08/2010","Não"
"860.370/2005","OSMAR RODOVALHO-FI","CATALÃO/GO, CUMARI/GO","68","areia/cascalho","30000/5000 t","19/01/2010","","Não"
"860.370/2005","CERÂMICA CATALÃO LTDA","CATALÃO/GO, CUMARI/GO","34","CASCALHO","1.000 toneladas","16/11/2012","22/06/2013","Não"
"860.370/2005","CERÂMICA CATALÃO LTDA","CATALÃO/GO, CUMARI/GO","33","AREIA e CASCALHO","5.000 e 1.000 toneladas","29/06/2012","22/06/2013 e 22/06/2013.","Não"
"860.712/2005","CERAMIKALYS INDUSTRIA CERAMICA E COMERCIO LTDA","COCALZINHO DE GOIÁS/GO","50","areia de quartzito","50000 t","19/01/2010","09/06/2010","Não"
"860.766/2005","HONORATO MATERIAIS PARA CONSTRUÇÃO LTDA","ABADIA DOS DOURADOS/MG, DAVINÓPOLIS/GO, OUVIDOR/GO","56","Areia","50.000 toneladas","17/10/2011","21/02/2012","Não"
"860.948/2005","JR EXTRAÇÃO MINERAL LTDA","GOIANDIRA/GO, IPAMERI/GO","2","AREIA","50.000 toneladas","14/04/2015","11/07/2015","Não"
"860.948/2005","JR EXTRAÇÃO MINERAL LTDA","GOIANDIRA/GO, IPAMERI/GO","77","Areia","50.000 toneladas","19/12/2013","11/11/2014","Não"
"860.948/2005","JR EXTRAÇÃO MINERAL LTDA","GOIANDIRA/GO, IPAMERI/GO","58","AREIA","50.000 toneladas","08/12/2015","01/10/2016","Não"
"861.701/2005","MINERAÇÃO E AGROPECUÁRIA SILVÂNIA","SILVÂNIA/GO","25","caulim","3.000 T","19/05/2010","17/08/2010","Não"
"861.701/2005","MINERAÇÃO E AGROPECUÁRIA SILVÂNIA","SILVÂNIA/GO","73","caulim","3000 t","19/01/2010","06/02/2010","Não"
"861.701/2005","MINERAÇÃO E AGROPECUÁRIA SILVÂNIA","SILVÂNIA/GO","18","CAULIM","3.000 t","27/08/2010","1 ANO","Não"
"861.815/2005","CONCRETA BRITAS LTDA","CALDAS NOVAS/GO","22","micaxisto","50.000 T","19/05/2010","22/03/2010","Não"
"861.815/2005","CONCRETA BRITAS LTDA","CALDAS NOVAS/GO","43","MICAXISTO","50.000 toneladas","26/06/2013","07/06/2014","Não"
"861.815/2005","CONCRETA BRITAS LTDA","CALDAS NOVAS/GO","26","MICAXISTO (produção de brita))","50.000 toneladas","19/08/2015","30/04/2016","Não"
"861.815/2005","CONCRETA BRITAS LTDA","CALDAS NOVAS/GO","3","Micaxisto (produção de brita)","50.000 t","23/03/2018","12/03/2019","Não"
"861.815/2005","CONCRETA BRITAS LTDA","CALDAS NOVAS/GO","358","MICAXIXTO (PRODUÇAO DE AGREGADOS)","50.000 t","27/10/2020","1 ANO","Não"
"861.856/2005","MINERAÇÃO E COMERCIO DE PRODUTOS MINERAIS CAIAPÓ LTDA","ÁGUAS LINDAS DE GOIÁS/GO, COCALZINHO DE GOIÁS/GO","1","QUARTZITO","50.000 toneladas","26/02/2013","02/01/2014","Não"
"861.856/2005","RIOPRESERV LTDA","COCALZINHO DE GOIÁS/GO","21","aeia ( de quartzito )","50.000 T","19/05/2010","25/11/2010","Não"
"861.856/2005","MINERAÇÃO E COMERCIO DE PRODUTOS MINERAIS CAIAPÓ LTDA","ÁGUAS LINDAS DE GOIÁS/GO, COCALZINHO DE GOIÁS/GO","40","Areia","50.000 toneladas","21/09/2012","18/10/2012","Não"
"862.164/2005","COMÉRCIO VAREJISTA E ATACADISTA DE MATERIAIS DE CONSTRUÇÃO LTDA","JATAÍ/GO","87","Areia","20.000 toneladas","17/10/2011","07/12/2011","Não"
"862.172/2005","AREAL MINAS GOIÁS LTDA","CRISTALINA/GO","51","AREIA","50.000 toneladas","24/09/2014","18/08/2015","Não"
"862.178/2005","OLAF WINKING","CRISTALINA/GO","45","AREIA","50.000 toneladas","21/12/2016","16/092017","Não"
"862.178/2005","OLAF WINKING","CRISTALINA/GO","23","Areia","50.000 t","17/08/2018","15/09/2019","Não"
"860.011/2006","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","SANTA VITÓRIA/MG, SÃO SIMÃO/GO","17","areia","areia ton.","26/03/2010","07/04/2011","Não"
"860.011/2006","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","SANTA VITÓRIA/MG, SÃO SIMÃO/GO","33","AREIA","30.000 toneladas","19/08/2015","25/06/2016","Não"
"860.013/2006","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","SANTA VITÓRIA/MG, CAÇU/GO, SÃO SIMÃO/GO","14","areia","30.000 ton.","26/03/2010","07/04/2011","Não"
"860.014/2006","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","SANTA VITÓRIA/MG, SÃO SIMÃO/GO","16","areia","30.000 ton.","26/03/2010","07/04/2011","Não"
"860.015/2006","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","SANTA VITÓRIA/MG, CAÇU/GO, SÃO SIMÃO/GO","62","areia","30000 t","19/01/2010","07/04/2011","Não"
"860.556/2006","PLINIO BOECHAT LOPES","CEZARINA/GO, PONTALINA/GO","73","Areia","11.000 toneladas","19/12/2013","02/05/2014","Não"
"860.583/2006","MG MINERAÇÃO GREEN GOLD LTDA ME","CRISTALINA/GO","48","AREIA","50.000 toneladas","02/09/2013","27/11/2013","Não"
"860.583/2006","MG MINERAÇÃO GREEN GOLD LTDA ME","CRISTALINA/GO","37","AREIA","30.000 toneladas","24/09/2014","13/06/2015","Não"
"860.584/2006","MG MINERAÇÃO GREEN GOLD LTDA ME","CRISTALINA/GO","38","AREIA","10.000 toneladas","24/09/2014","10/06/2015","Não"
"860.584/2006","EDUARDO FERNANDES","CRISTALINA/GO","13","AREIA","50.000 toneladas","05/04/2013","27/11/2013","Não"
"860.584/2006","EDUARDO FERNANDES","CRISTALINA/GO","43","areia","45000 t","19/01/2010","28/04/2010","Não"
"860.584/2006","EDUARDO FERNANDES","CRISTALINA/GO","2","AREIA","30.000 TONELADAS","17/02/2012","14/09/2012","Não"
"860.594/2006","MBM MINERAÇÃO S A.","ABADIÂNIA/GO","91","Quartzito para produção de areia","50.000 toneladas","22/12/2011","22/09/2012","Não"
"860.594/2006","MBM MINERAÇÃO S A.","ABADIÂNIA/GO","74","AREIA","50.000 toneladas","07/02/2013","07/11/2013","Não"
"860.760/2006","COOPEDRAS DE PIRENÓPOLIS LTDA","PIRENÓPOLIS/GO","96","Quartzito","8.000 toneladas","27/10/2011","12/03/2012","Não"
"860.921/2006","BRITAGEM QUALIBRITAS LTDA","MINEIROS/GO","10","basalto","45.000 ton.","26/03/2010","20/11/2010","Não"
"860.934/2006","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","88","areia","30000 t","19/01/2010","14/07/2010","Não"
"860.934/2006","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","3","AREIA","11.205 toneladas","17/02/2012","04/10/2012","Não"
"860.934/2006","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","42","Areia","10.000 toneladas","17/10/2011","05/11/2011","Não"
"860.934/2006","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","10","AREIA","11.205 toneladas","30/05/2014","18/02/2015","Não"
"860.934/2006","MINERAÇÃO SANTA LUZIA LTDA","SILVÂNIA/GO","38","AREIA","11.205 toneladas","19/08/2015","12/07/2016","Não"
"860.935/2006","AREIAL ELDORADO LTDA","HIDROLÂNDIA/GO, PIRACANJUBA/GO","44","areia","39000 t","19/01/2010","26/06/2010","Não"
"860.981/2006","JUAREZ PEREIRA DA COSTA","GOIANÉSIA/GO, SANTA ISABEL/GO","43","areia","1 25.000","27/08/2010","28/10/2010","Não"
"861.036/2006","MIGUEL ALVES DE FREITAS","GAMELEIRA DE GOIÁS/GO, SILVÂNIA/GO","7","AREIA","3.000 toneladas","23/02/2016","20/01/2017","Não"
"861.042/2006","BICUDO'S ENTULHOS LTDA","PIRENÓPOLIS/GO","110","Quartzito","16.000 toneladas","27/10/2011","12/03/2012","Não"
"861.043/2006","BICUDO'S ENTULHOS LTDA","PIRENÓPOLIS/GO","108","Quartzito","16.000 toneladas","27/10/2011","12/03/2012","Não"
"861.358/2006","COOPEDRAS DE PIRENÓPOLIS LTDA","PIRENÓPOLIS/GO","95","Quartzito","8.000 toneladas","27/10/2011","12/03/2012","Não"
"861.390/2006","P.Z. AREIA E TRANSPORTE LTDA","SILVÂNIA/GO","81","areia","39000 t","19/01/2010","18/05/2010","Não"
"861.390/2006","P.Z. AREIA E TRANSPORTE LTDA","SILVÂNIA/GO","89","Areia","11.205 toneladas","27/10/2011","27/06/2012","Não"
"861.392/2006","SRI MINERAÇÃO LTDA ME","JARAGUÁ/GO, SÃO FRANCISCO DE GOIÁS/GO","75","Areia","50.000 toneladas","19/12/2013","03/10/2014","Não"
"832.470/2007","MARCOS DELFINO ROSA","COROMANDEL/MG, CATALÃO/GO","192","Cascalho Diamantífero","50.000 toneladas","28/09/2011","02/04/2012","Não"
"832.470/2007","MARCOS DELFINO ROSA","COROMANDEL/MG, CATALÃO/GO","275","Cascalho Diamantífero","25.000 toneladas/ano (200 ct)","17/12/2012","06/08/2014","Não"
"860.017/2007","J.L. AREIA E CASCALHO LTDA","SILVÂNIA/GO","53","areia","39000 t","19/01/2010","01/04/2010","Não"
"860.017/2007","J.L. AREIA E CASCALHO LTDA","SILVÂNIA/GO","26","areia","2.000 T","19/05/2010","01/07/2010","Não"
"860.036/2007","LEONARDO AZEVEDO DOS SANTOS","ABADIÂNIA/GO","119","Areia","40.000 toneladas","22/12/2011","04/10/2012","Não"
"860.167/2007","MINERAÇÃO CURRAL DE PEDRA LTDA","FAINA/GO","9","MINÉRIO DE OURO","50.000 toneladas","30/05/2014","29/11/2014","Não"
"860.167/2007","MINERAÇÃO CURRAL DE PEDRA LTDA","FAINA/GO","6","MINÉRIO DE OURO","50.000 toneladas","23/02/2016","06/01/2017","Não"
"860.167/2007","MINERAÇÃO CURRAL DE PEDRA LTDA","FAINA/GO","18","MINÉRIO DE OURO","50.000 toneladas","12/07/2017","22/07/2018","Não"
"860.167/2007","MINERAÇÃO CURRAL DE PEDRA LTDA","FAINA/GO","32","Minério de ouro","50.000 t","16/11/2018","30/10/2019","Não"
"860.167/2007","MINERAÇÃO CURRAL DE PEDRA LTDA","FAINA/GO","334","MINÉRIO DE OURO","150.000 toneladas/ano","26/10/2020","3","Não"
"860.323/2007","FORNECEDORA SILVÂNIA DE AREIA LTDA ME","SILVÂNIA/GO","63","areia","39000 t","19/01/2010","28/04/2010","Não"
"860.323/2007","FORNECEDORA SILVÂNIA DE AREIA LTDA ME","SILVÂNIA/GO","27","areia","5.000 T","19/05/2010","21/08/2010","Não"
"860.404/2007","AMIN SALOMÃO","SILVÂNIA/GO","65","areia","15000 t","19/01/2010","15/06/2010","Não"
"860.421/2007","CLEUZA MARIA BARBOSA","HIDROLÂNDIA/GO","76","areia","27000 t","19/01/2010","09/05/2010","Não"
"860.421/2007","CLEUZA MARIA BARBOSA","HIDROLÂNDIA/GO","47","Areia","10.000 toneladas","17/10/2011","21/02/2012","Não"
"860.598/2007","CERÂMICA GONÇÁLVES OLIVEIRA LTDA","JATAÍ/GO","28","argila","12.000 T","19/05/2010","25/08/2010","Não"
"860.598/2007","CERÂMICA GONÇÁLVES OLIVEIRA LTDA EPP","JATAÍ/GO","72","ARGILA","12.000 toneladas","21/12/2012","24/04/2013","Não"
"860.598/2007","CERÂMICA GONÇÁLVES OLIVEIRA LTDA EPP","JATAÍ/GO","34","ARGILA","12.000 toneladas","24/09/2014","25/06/2015","Não"
"860.598/2007","CERÂMICA GONÇÁLVES OLIVEIRA LTDA EPP","JATAÍ/GO","3","ARGILA","12.000 toneladas","19/08/2015","10/01/2016","Não"
"860.598/2007","CERÂMICA GONÇÁLVES OLIVEIRA LTDA EPP","JATAÍ/GO","62","ARGILA","12.000 toneladas","11/12/2014","16/10/2015","Não"
"860.598/2007","CERÂMICA GONÇÁLVES OLIVEIRA LTDA EPP","JATAÍ/GO","72","ARGILA","12.000 toneladas","07/02/2013","24/04/2013","Não"
"860.644/2007","WM MINERAÇÃO LTDA","TRINDADE/GO, GOIANIRA/GO","34","CALCÁRIO E PIROXENITO","20.000 e 50.000 toneladas","13/06/2013","21/05/2014","Não"
"860.644/2007","WOLLASMIL MINERAÇÃO LTDA","TRINDADE/GO, GOIANIRA/GO","25","Piroxenito e Calcário","30.000 e 20.000 tonelada","27/10/2011","06/04/2012 e 06/04/2012","Não"
"860.984/2007","CONSÓRCIO MARINS PAVOTEC","URUAÇU/GO","58","gnaisse","45000 t","19/01/2010","11/08/2010","Não"
"860.984/2007","CONSÓRCIO MARINS PAVOTEC","URUAÇU/GO","16","GRANITO (brita)","50.000 toneladas","17/05/2013","30/06/2013","Não"
"861.056/2007","MINERACAO RG LTDA EPP","BURITI DE GOIÁS/GO, SANCLERLÂNDIA/GO","9","AREIA","16.416 toneladas","04/03/2013","08/02/2014","Não"
"861.056/2007","SEBASTIÃO DE PAULA GARCIA","BURITI DE GOIÁS/GO, SANCLERLÂNDIA/GO","30","areia","39.000 t","19/05/2010","14/03/2011","Não"
"861.092/2007","CERÂMICA SAN GENARO LTDA","SILVÂNIA/GO","49","areia","39000 t","19/01/2010","27/04/2010","Não"
"861.108/2007","MINERAÇÃO FELIX LTDA","SILVÂNIA/GO","79","areia","39000 t","19/01/2010","07/05/2010","Não"
"861.163/2007","ARM NAKAGAVA LTDA ME","BARRO ALTO/GO, NIQUELÂNDIA/GO","49","AREIA","19.699 toneladas","02/09/2013","01/08/2014","Não"
"861.163/2007","ARM NAKAGAVA LTDA ME","BARRO ALTO/GO, NIQUELÂNDIA/GO","182","AREIA","16.416 t","17/12/2019","29/11/2020","Não"
"861.163/2007","ARM NAKAGAVA LTDA ME","BARRO ALTO/GO, NIQUELÂNDIA/GO","182","Areia","16.416 Toneladas","09/12/2019","29/11/2020","Não"
"861.192/2007","A R BORGES DE SOUSA ME","RIALMA/GO, SANTA ISABEL/GO","13","AREIA","13.133 toneladas","06/07/2016","26/02/2017","Não"
"861.390/2007","RONALDO NASCIMENTO DE OLIVEIRA","COCALZINHO DE GOIÁS/GO, CORUMBÁ DE GOIÁS/GO, PIRENÓPOLIS/GO","25","QUARTZITO","12.000 toneladas","24/09/2014","22/12/2014","Não"
"861.426/2007","CATALANA IND E COM DE ARTEFATOS DE CIMENTO E CONST LTDA","CORUMBAÍBA/GO, CUMARI/GO, NOVA AURORA/GO","52","AREIA","35.000 toneladas","08/12/2015","01/06/2017","Não"
"861.426/2007","OSMAR FRANCISCO MARTINS","CUMARI/GO, NOVA AURORA/GO","4","AREIA","35.000 TONELADAS","17/02/2012","30/04/2012","Não"
"861.589/2007","P.Z. AREIA E TRANSPORTE LTDA","SILVÂNIA/GO, VIANÓPOLIS/GO","43","Areia","5.200 toneladas","21/09/2012","29/11/2012","Não"
"861.589/2007","P.Z. AREIA E TRANSPORTE LTDA","SILVÂNIA/GO, VIANÓPOLIS/GO","14","AREIA","11.491 toneladas","14/04/2015","12/07/2015","Não"
"861.778/2007","EMMANOEL TENÓRIO BRITTO","FORMOSA/GO","48","areia e manganês","5.000 e 6.000 ton","27/08/2010","13/12/2010","Não"
"861.778/2007","TENÓRIO BRITTO MINERAÇÃO E TOPOGRÁFIA LTDA EPP","FORMOSA/GO","5","AREIA (desmonte de rocha quartzítica)","50.000 toneladas","23/02/2016","30/12/2016","Não"
"861.778/2007","TENÓRIO BRITTO MINERAÇÃO E TOPOGRÁFIA LTDA EPP","FORMOSA/GO","4","AREIA (derivada de quartzito)","50.000 toneladas","12/07/2017","08/07/2017","Não"
"861.778/2007","TENÓRIO BRITTO MINERAÇÃO E TOPOGRÁFIA LTDA EPP","FORMOSA/GO","4","Quartzito (produção de areia)","50.000 t","22/04/2019","18/12/2019","Não"
"861.778/2007","TENÓRIO BRITTO MINERAÇÃO E TOPOGRÁFIA LTDA EPP","FORMOSA/GO","2","Quartzito (produção de areia)","50.000 t","02/03/2018","06/02/2019","Não"
"861.778/2007","TENÓRIO BRITTO MINERAÇÃO E TOPOGRÁFIA LTDA EPP","FORMOSA/GO","370","QUARTZITO (PRODUÇÃO DE AREIA)","50.000 t","05/11/2020","1 (um)","Não"
