"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","860323/2017","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","14.284.366/0001-44","Calcário Hipercal Comércio e Representações Ltda","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Fabricação de cimento","Sim"
"Gerência Regional / GO","860993/2017","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","14.284.366/0001-44","Calcário Hipercal Comércio e Representações Ltda","VILA PROPÍCIO - GO","ILMENITA","Industrial","Sim"
"Gerência Regional / GO","860995/2017","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","14.284.366/0001-44","Calcário Hipercal Comércio e Representações Ltda","NIQUELÂNDIA - GO","ILMENITA","Industrial","Sim"
"Gerência Regional / GO","861349/2016","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","14.284.366/0001-44","Calcário Hipercal Comércio e Representações Ltda","BARRO ALTO - GO, NIQUELÂNDIA - GO, SANTA RITA DO NOVO DESTINO - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","861351/2016","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","14.284.366/0001-44","Calcário Hipercal Comércio e Representações Ltda","NIQUELÂNDIA - GO, SANTA RITA DO NOVO DESTINO - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / MG","830651/2026","Requerimento de Mudança de Regime para Aut. de Pesquisa","Requerimento de Pesquisa","***.835.646-**","MARCIO ERNANE DA COSTA","CATALÃO - GO, GUARDA-MOR - MG","DIAMANTE","Gema","Sim"
"Gerência Regional / MG","830654/2026","Requerimento de Mudança de Regime para Aut. de Pesquisa","Requerimento de Pesquisa","***.835.646-**","MARCIO ERNANE DA COSTA","CATALÃO - GO, COROMANDEL - MG, GUARDA-MOR - MG","DIAMANTE","Gema","Sim"
"Gerência Regional / GO","860255/2016","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.951.396-**","Manoel Juarez Pereira","CAMPINAÇU - GO","BERILO, FELDSPATO, QUARTZO, QUARTZO, QUARTZO, TURMALINA","Gema, Gema, Gema, Industrial, Industrial, Pedra de coleção","Sim"
"Gerência Regional / MS","868183/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","01.829.378/0001-65","MINERACAO FORTALEZA LTDA","APORÉ - GO, CASSILÂNDIA - MS, ITAJÁ - GO","BASALTO, OURO","Brita, Industrial","Sim"
"Gerência Regional / GO","860286/2023","Requerimento de Cessão parcial","Requerimento de Pesquisa","50.228.390/0001-20","MF CALCARIO LTDA.","NIQUELÂNDIA - GO","AREIA, CALCÁRIO, MINÉRIO DE OURO","Construção civil, Corretivo de solo, Industrial","Sim"
"Gerência Regional / GO","860326/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","33.633.415/0001-51","RZZ MINERACAO LTDA","PIRES DO RIO - GO, SANTA CRUZ DE GOIÁS - GO","OURO","Industrial","Sim"
"Gerência Regional / GO","860546/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","34.031.776/0001-90","VALE DO RIO VERDE COMERCIO DE MATERIAIS PARA CONSTRUCAO EIRELI","ITARUMÃ - GO, SERRANÓPOLIS - GO","AREIA, DIAMANTE, MINÉRIO DE OURO","Construção civil, Industrial, Industrial","Sim"
"Gerência Regional / GO","860832/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","34.031.776/0001-90","VALE DO RIO VERDE COMERCIO DE MATERIAIS PARA CONSTRUCAO EIRELI","SERRANÓPOLIS - GO","BASALTO, OURO","Brita, Industrial","Sim"
"Gerência Regional / GO","860983/2022","Requerimento de Cessão parcial","Requerimento de Pesquisa","33.624.438/0001-08","SETA MINERACAO LTDA","RIO VERDE - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860984/2022","Requerimento de Cessão parcial","Requerimento de Pesquisa","33.624.438/0001-08","SETA MINERACAO LTDA","RIO VERDE - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860985/2022","Requerimento de Cessão parcial","Requerimento de Pesquisa","33.624.438/0001-08","SETA MINERACAO LTDA","RIO VERDE - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","861151/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.096.121-**","WILTON MARTINS DE OLIVEIRA","ÁGUAS LINDAS DE GOIÁS - GO, BRASÍLIA - DF","CASCALHO, OURO","Construção civil, Industrial","Sim"
"Gerência Regional / MT","866863/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","39.402.633/0001-61","BARROSO CONSULTORIA E SERVICOS GEOLOGICOS LTDA","ALTO ARAGUAIA - MT, SANTA RITA DO ARAGUAIA - GO","DIAMANTE","Gema","Sim"
"Gerência Regional / GO","860581/2022","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","09.167.564/0001-98","LGV MINERACAO LTDA","AMORINÓPOLIS - GO","ILMENITA","Industrial","Sim"
"Gerência Regional / GO","860083/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.256.486-**","TULIO RODRIGUES DA CUNHA","CATALÃO - GO, GOIANDIRA - GO","AREIA, CASCALHO, DIAMANTE, MINÉRIO DE COBRE, NITRATO DE POTÁSSIO, TERRAS RARAS, VERMICULITA","Construção civil, Construção civil, Industrial, Industrial, Industrial, Industrial, Industrial","Sim"
"Gerência Regional / GO","860820/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.157.018-**","ALINE CARLA GONCALVES CARVELO","TRINDADE - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860447/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","36.996.159/0001-55","MILK DISCOVERY GEMAS LTDA","CAVALCANTE - GO","AMETISTA, MINÉRIO DE OURO, QUARTZO","Gema, Industrial, Industrial","Sim"
"Gerência Regional / GO","860829/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","30.219.821/0001-84","MINERACAO TURMALINA LTDA","MONTE ALEGRE DE GOIÁS - GO","MINÉRIO DE OURO, QUARTZO INDUSTRIAL","Industrial, Industrial","Sim"
"Gerência Regional / GO","860902/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","30.219.821/0001-84","MINERACAO TURMALINA LTDA","CAVALCANTE - GO, MONTE ALEGRE DE GOIÁS - GO","MINÉRIO DE OURO, QUARTZO","Artesanato  mineral, Industrial","Sim"
"Gerência Regional / GO","861141/2015","Requerimento de Disponibilidade para pesquisa","Requerimento de Pesquisa","18.499.616/0004-67","Votorantim Metais S.a","CRIXÁS - GO","MINÉRIO DE NÍQUEL","Industrial","Sim"
"Gerência Regional / GO","861444/2014","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.750.421-**","Sebastião Gonçalves de Arantes","CAMPINORTE - GO","MINÉRIO DE MANGANÊS","Industrial","Sim"
"Gerência Regional / GO","860090/2016","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","14.954.315/0001-82","Vila Verde Terraplenagem e Transportes Ltda","MONTE ALEGRE DE GOIÁS - GO, NOVA ROMA - GO, TERESINA DE GOIÁS - GO","AREIA, CASCALHO, DIAMANTE, MINÉRIO DE OURO","Construção civil, Construção civil, Industrial, Industrial","Sim"
"Gerência Regional / GO","861943/2011","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.391.411-**","Joao Alberto Fraga Silva","ÁGUA FRIA DE GOIÁS - GO, NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","861096/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.452.541-**","RAIMUNDO ALVES MACEDO","CAVALCANTE - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","861127/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","33.328.063/0001-20","Mineração Mozondó Ltda","PLANALTINA - GO","CALCÁRIO, DOLOMITO","Brita, Corretivo de solo","Sim"
"Gerência Regional / GO","860468/2026","Requerimento de Cessão parcial","Requerimento de Pesquisa","***.279.571-**","BOADYR PIRES VELOSO","MUNDO NOVO - GO","ILMENITA","Industrial","Sim"
"Gerência Regional / GO","860457/2024","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","37.462.924/0001-10","S&S CONSTRUTORA E INCORPORADORA LTDA","APARECIDA DE GOIÂNIA - GO","OURO","Industrial","Sim"
"Gerência Regional / GO","861442/2024","Requerimento de Pesquisa - Leilão","Requerimento de Pesquisa","73.956.088/0001-93","ZEUS MINERACAO LTDA","NIQUELÂNDIA - GO","MINÉRIO DE COBRE","Industrial","Sim"
"Gerência Regional / GO","860399/2021","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.261.196-**","JOSE DARCY NOGUEIRA","GOIÁS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim"
"Gerência Regional / GO","860400/2021","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.261.196-**","JOSE DARCY NOGUEIRA","ITAPIRAPUÃ - GO, MATRINCHÃ - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim"
"Gerência Regional / GO","860626/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","35.288.553/0001-76","AGUIA EXTRACAO E COMERCIO DE AREIAS LTDA","FAINA - GO","OURO","Industrial","Sim"
"Gerência Regional / GO","860766/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","08.829.496/0001-12","MINERACAO LESTE DE MINAS LTDA","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860829/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","08.829.496/0001-12","MINERACAO LESTE DE MINAS LTDA","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","861238/2024","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","08.829.496/0001-12","MINERACAO LESTE DE MINAS LTDA","COLINAS DO SUL - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","860918/1994","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.249.601-**","Rui Luiz de souza","CEZARINA - GO","GNAISSE","Demais substâncias","Sim"
"Gerência Regional / GO","861067/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861069/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861070/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861071/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861072/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861073/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861074/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861075/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861078/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861086/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","NOVA IGUAÇU DE GOIÁS - GO, URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861087/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861088/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","NOVA IGUAÇU DE GOIÁS - GO, URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861089/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","07.436.787/0001-88","VERMONT MINERACAO EXPORTACAO E IMPORTACAO LTDA","NOVA IGUAÇU DE GOIÁS - GO, URUAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861376/2021","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.249.601-**","Rui Luiz de souza","CEZARINA - GO, GUAPÓ - GO, PALMEIRAS DE GOIÁS - GO, VARJÃO - GO","AREIA, AREIA, ARGILA, ARGILA, MINÉRIO DE OURO","Cerâmica vermelha, Construção civil, Industrial, Industrial, Industrial","Sim"
"Gerência Regional / GO","860162/2018","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.625.341-**","SEBASTIAO ALVES DE CARVALHO JUNIOR","GOIÁS - GO","AREIA, CASCALHO, MINÉRIO DE OURO","Construção civil, Construção civil, Industrial","Sim"
"Gerência Regional / GO","860561/2021","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","36.601.506/0001-01","MINERACAO RIO TIGRE LTDA","NIQUELÂNDIA - GO","DUNITO","Revestimento","Sim"
"Gerência Regional / GO","860625/2023","Requerimento de Cessão parcial","Requerimento de Pesquisa","36.601.506/0001-01","MINERACAO RIO TIGRE LTDA","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Brita","Sim"
"Gerência Regional / GO","861165/2023","Requerimento de Cessão parcial","Requerimento de Pesquisa","36.601.506/0001-01","MINERACAO RIO TIGRE LTDA","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Brita","Sim"
"Gerência Regional / GO","861706/2013","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.470.741-**","Jafe Pereira","COCALZINHO DE GOIÁS - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860239/2026","Requerimento de Cessão parcial","Requerimento de Pesquisa","05.938.517/0001-40","Sm Industria de Minerios do Brasil Ltda","SÃO DOMINGOS - GO","CALCÁRIO, CALCÁRIO, CALCÁRIO","Brita, Corretivo de solo, Revestimento","Sim"
"Gerência Regional / GO","860998/2017","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","37.291.887/0001-24","VITACAL COMERCIO E REPRESENTACOES LIMITADA","INDIARA - GO, JANDAIA - GO","CALCÁRIO, ILMENITA","Corretivo de solo, Industrial","Sim"
"Gerência Regional / GO","860999/2017","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","37.291.887/0001-24","VITACAL COMERCIO E REPRESENTACOES LIMITADA","JANDAIA - GO","CALCÁRIO, ILMENITA","Corretivo de solo, Industrial","Sim"
"Gerência Regional / GO","861010/2017","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","37.291.887/0001-24","VITACAL COMERCIO E REPRESENTACOES LIMITADA","EDÉIA - GO","ILMENITA","Industrial","Sim"
"Gerência Regional / GO","860819/2024","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","50.342.206/0001-78","E M T D ACESSORIA COMERCIAL LTDA","NOVO GAMA - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860751/2024","Requerimento de Cessão parcial","Requerimento de Pesquisa","97.529.075/0001-04","CRISTAL DISTRIBUIDORA LTDA","ARAGARÇAS - GO, BOM JARDIM DE GOIÁS - GO, MONTES CLAROS DE GOIÁS - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860778/2024","Requerimento de Cessão parcial","Requerimento de Pesquisa","97.529.075/0001-04","CRISTAL DISTRIBUIDORA LTDA","BOM JARDIM DE GOIÁS - GO, MONTES CLAROS DE GOIÁS - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860799/2024","Requerimento de Cessão parcial","Requerimento de Pesquisa","97.529.075/0001-04","CRISTAL DISTRIBUIDORA LTDA","BOM JARDIM DE GOIÁS - GO, MONTES CLAROS DE GOIÁS - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860801/2024","Requerimento de Cessão parcial","Requerimento de Pesquisa","97.529.075/0001-04","CRISTAL DISTRIBUIDORA LTDA","BOM JARDIM DE GOIÁS - GO, MONTES CLAROS DE GOIÁS - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860803/2024","Requerimento de Cessão parcial","Requerimento de Pesquisa","97.529.075/0001-04","CRISTAL DISTRIBUIDORA LTDA","ARENÓPOLIS - GO, BOM JARDIM DE GOIÁS - GO, MONTES CLAROS DE GOIÁS - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860804/2024","Requerimento de Cessão parcial","Requerimento de Pesquisa","97.529.075/0001-04","CRISTAL DISTRIBUIDORA LTDA","ARAGARÇAS - GO, MONTES CLAROS DE GOIÁS - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860805/2024","Requerimento de Cessão parcial","Requerimento de Pesquisa","97.529.075/0001-04","CRISTAL DISTRIBUIDORA LTDA","BOM JARDIM DE GOIÁS - GO, MONTES CLAROS DE GOIÁS - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860492/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","36.983.022/0001-66","COOPERATIVA DOS MINERADOES DO VALE DO GUAPORE","ALTO PARAÍSO DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860495/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","36.983.022/0001-66","COOPERATIVA DOS MINERADOES DO VALE DO GUAPORE","ALTO PARAÍSO DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860496/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","36.983.022/0001-66","COOPERATIVA DOS MINERADOES DO VALE DO GUAPORE","ALTO PARAÍSO DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860497/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","36.983.022/0001-66","COOPERATIVA DOS MINERADOES DO VALE DO GUAPORE","ALTO PARAÍSO DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860498/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","36.983.022/0001-66","COOPERATIVA DOS MINERADOES DO VALE DO GUAPORE","ALTO PARAÍSO DE GOIÁS - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860138/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","43.093.229/0001-20","ALPHA MINERALS BRAZIL PARTICIPACOES LTDA.","PARAÚNA - GO","TERRAS RARAS","Industrial","Sim"
"Gerência Regional / GO","860139/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","43.093.229/0001-20","ALPHA MINERALS BRAZIL PARTICIPACOES LTDA.","PARAÚNA - GO","TERRAS RARAS","Industrial","Sim"
"Gerência Regional / GO","860140/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","43.093.229/0001-20","ALPHA MINERALS BRAZIL PARTICIPACOES LTDA.","IVOLÂNDIA - GO, PARAÚNA - GO","TERRAS RARAS","Industrial","Sim"
"Gerência Regional / GO","860141/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","43.093.229/0001-20","ALPHA MINERALS BRAZIL PARTICIPACOES LTDA.","PARAÚNA - GO","TERRAS RARAS","Industrial","Sim"
"Gerência Regional / GO","860142/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","43.093.229/0001-20","ALPHA MINERALS BRAZIL PARTICIPACOES LTDA.","PARAÚNA - GO","TERRAS RARAS","Industrial","Sim"
"Gerência Regional / GO","861964/2024","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.440.566-**","calil jose rahal","IPORÁ - GO, ISRAELÂNDIA - GO","TERRAS RARAS","Industrial","Sim"
"Gerência Regional / GO","860030/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.440.566-**","calil jose rahal","CALDAS NOVAS - GO, MORRINHOS - GO","AREIA, DIAMANTE, MINÉRIO DE OURO","Gema, Industrial, Industrial","Sim"
"Gerência Regional / GO","860070/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.440.566-**","calil jose rahal","PIRENÓPOLIS - GO, SÃO FRANCISCO DE GOIÁS - GO","AREIA","Industrial","Sim"
"Gerência Regional / GO","860109/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.440.566-**","calil jose rahal","BELA VISTA DE GOIÁS - GO","AREIA, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / GO","860135/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","43.093.229/0001-20","ALPHA MINERALS BRAZIL PARTICIPACOES LTDA.","PARAÚNA - GO","TERRAS RARAS","Industrial","Sim"
"Gerência Regional / GO","860536/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","44.557.880/0001-77","PALMARES ESTUDOS GEOLOGICOS LTDA","ARAÇU - GO, INHUMAS - GO","FOSFATO","Fertilizantes","Sim"
"Gerência Regional / GO","860538/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","44.557.880/0001-77","PALMARES ESTUDOS GEOLOGICOS LTDA","CATURAÍ - GO, INHUMAS - GO","FOSFATO","Fertilizantes","Sim"
"Gerência Regional / GO","860539/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","44.557.880/0001-77","PALMARES ESTUDOS GEOLOGICOS LTDA","CATURAÍ - GO, INHUMAS - GO","FOSFATO","Fertilizantes","Sim"
"Gerência Regional / GO","860540/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","44.557.880/0001-77","PALMARES ESTUDOS GEOLOGICOS LTDA","INHUMAS - GO","FOSFATO","Fertilizantes","Sim"
"Gerência Regional / GO","860695/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","86.658.598/0001-26","PORTO DE AREIAS PARANA LTDA","SERRANÓPOLIS - GO","AREIA, CASCALHO, DIAMANTE, DIAMANTE","Construção civil, Construção civil, Gema, Industrial","Sim"
"Gerência Regional / GO","860450/2016","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.559.776-**","Ruyther Souza Riguad","MINAÇU - GO","ÁGUA MARINHA, CAULIM, FELDSPATO, QUARTZO","Gema, Industrial, Industrial, Industrial","Sim"
"Gerência Regional / GO","860420/2017","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.134.766-**","LEONCIO CARLOS MEDEIROS","ANÁPOLIS - GO","AREIA, MINÉRIO DE OURO, QUARTZITO, QUARTZITO","Construção civil, Industrial, Industrial, Revestimento","Sim"
