"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação","Data da Cessão"
"Gerência Regional / GO","860213/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","11/06/2019"
"Gerência Regional / GO","800464/1969","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.162.123/0001-29","MINERACAO PEDRA LINDA LTDA","SANTO ANTÔNIO DO DESCOBERTO - GO","FERRO, MANGANÊS","Demais substâncias, Demais substâncias","Sim","25/01/2010"
"Gerência Regional / GO","861490/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861489/2016","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861488/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861487/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861486/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861485/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","BURITIS - MG, FLORES DE GOIÁS - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861483/2016","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","BURITIS - MG, FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861482/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861479/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861478/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim","16/01/2023"
"Gerência Regional / GO","861082/2017","Requerimento de Mudança de Regime para Aut. de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","TERESINA DE GOIÁS - GO","QUARTZITO","Revestimento","Sim","09/05/2018"
"Gerência Regional / GO","860702/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.264.528/0001-78","GUIDONI BRASIL S/A","CAVALCANTE - GO","MINÉRIO DE MANGANÊS","Industrial","Sim","04/08/2025"
"Gerência Regional / GO","860582/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.264.528/0001-78","GUIDONI BRASIL S/A","CAMPINAÇU - GO","CALCÁRIO, CALCÁRIO, CALCÁRIO, CALCÁRIO, FOSFATO","Brita, Corretivo de solo, Fabricação de cal, Fabricação de cimento, Fertilizantes","Sim","19/04/2023"
"Gerência Regional / GO","860580/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","MINAÇU - GO","CALCÁRIO, CALCÁRIO, CALCÁRIO, CALCÁRIO, FOSFATO","Brita, Corretivo de solo, Fabricação de cal, Fabricação de cimento, Fertilizantes","Sim","03/03/2023"
"Gerência Regional / GO","860579/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.264.528/0001-78","GUIDONI BRASIL S/A","MINAÇU - GO","CALCÁRIO, CALCÁRIO, CALCÁRIO, CALCÁRIO, FOSFATO","Brita, Corretivo de solo, Fabricação de cal, Fabricação de cimento, Fertilizantes","Sim","03/03/2023"
"Gerência Regional / GO","860439/2017","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","CAMPINAÇU - GO","QUARTZITO, QUARTZO","Industrial, Revestimento","Sim","19/02/2018"
"Gerência Regional / GO","861541/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","01.059.930/0001-83","CALCARIO SANTA TEREZA LTDA","FORMOSO - GO","CALCÁRIO, CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO","Corretivo de solo, Corretivo de solo, Fabricação de cal","Sim","17/03/2026"
"Gerência Regional / GO","861540/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","01.059.930/0001-83","CALCARIO SANTA TEREZA LTDA","FORMOSO - GO","CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO","Corretivo de solo, Fabricação de cal","Sim","09/05/2018"
"Gerência Regional / GO","861376/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","01.059.930/0001-83","CALCARIO SANTA TEREZA LTDA","FORMOSO - GO","CALCÁRIO","Fabricação de cimento","Sim","20/05/2026"
"Gerência Regional / GO","807670/1975","Requerimento de Autorização de Pesquisa","Concessão de Lavra","01.059.930/0001-83","CALCARIO SANTA TEREZA LTDA","FORMOSO - GO","CALCÁRIO DOLOMÍTICO","Demais substâncias","Sim","22/06/1989"
"Gerência Regional / GO","860609/1995","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.130.870/0001-00","BENUNES E BENUNES LTDA","GOIÁS - GO","CALCÁRIO DOLOMÍTICO, FOSFATO","Corretivo de solo, Demais substâncias","Sim","20/01/2003"
"Gerência Regional / GO","861781/2007","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.540.029/0001-91","GOIAS VERMICULITA SA","OUVIDOR - GO","VERMICULITA","Industrial","Sim","21/09/2010"
"Gerência Regional / GO","810832/1974","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.683.365/0001-93","BRASIL MINERIOS S/A","SANCLERLÂNDIA - GO","VERMICULITA","Demais substâncias","Sim","05/11/2003"
"Gerência Regional / GO","810831/1974","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.683.365/0001-93","BRASIL MINERIOS S/A","SANCLERLÂNDIA - GO","VERMICULITA","Demais substâncias","Sim","05/11/2003"
"Gerência Regional / GO","807299/1977","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.683.365/0001-93","BRASIL MINERIOS S/A","SÃO LUÍS DE MONTES BELOS - GO","VERMICULITA","Demais substâncias","Sim","05/11/2003"
"Gerência Regional / GO","860179/1978","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","02.683.365/0001-93","BRASIL MINERIOS S/A","SÃO LUÍS DE MONTES BELOS - GO","VERMICULITA","Demais substâncias","Sim","05/11/2003"
"Gerência Regional / GO","811774/1974","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.683.365/0001-93","BRASIL MINERIOS S/A","SANCLERLÂNDIA - GO","VERMICULITA","Demais substâncias","Sim","05/11/2003"
"Gerência Regional / GO","860312/2001","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","02.785.798/0001-50","ITACUA INDUSTRIA E COMERCIO DE MINERIOS LTDA","ANICUNS - GO","CALCÁRIO","Industrial","Sim","18/04/2013"
"Gerência Regional / GO","860286/1989","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.785.798/0001-50","ITACUA INDUSTRIA E COMERCIO DE MINERIOS LTDA","MOSSÂMEDES - GO","CALCÁRIO, CALCÁRIO","Brita, Demais substâncias","Sim","01/10/1991"
"Gerência Regional / GO","860134/2014","Requerimento de Cessão parcial","Requerimento de Lavra","03.007.590/0001-72","BRITAGO MINERACAO INDUSTRIA E COMERCIO LTDA","SANTA BÁRBARA DE GOIÁS - GO","DIORITO, MINÉRIO DE FERRO","Brita, Industrial","Sim","02/09/2015"
"Gerência Regional / GO","862617/1980","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.297.900/0001-30","AGUAS DE CALDAS-NOVAS COLONIA DO SESC LTDA","CALDAS NOVAS - GO","ÁGUAS TERMAIS","Demais substâncias","Sim","07/07/1987"
"Gerência Regional / GO","861856/2013","Requerimento de Disponibilidade para lavra","Concessão de Lavra","03.297.900/0001-30","AGUAS DE CALDAS-NOVAS COLONIA DO SESC LTDA","JATAÍ - GO","ÁGUA MINERAL","Balneoterapia","Sim","22/01/2025"
"Gerência Regional / GO","860577/1986","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.299.740/0001-69","SOMA EMPRESA DE MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","22/03/2010"
"Gerência Regional / GO","860465/1988","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.299.740/0001-69","SOMA EMPRESA DE MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","26/12/1994"
"Gerência Regional / GO","860045/1985","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.299.740/0001-69","SOMA EMPRESA DE MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","28/05/2007"
"Gerência Regional / GO","861105/1988","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.299.740/0001-69","SOMA EMPRESA DE MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","24/07/1997"
"Gerência Regional / GO","861104/1988","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.299.740/0001-69","SOMA EMPRESA DE MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","28/07/1997"
"Gerência Regional / GO","861075/1986","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.299.740/0001-69","SOMA EMPRESA DE MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","22/08/1997"
"Gerência Regional / GO","860005/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860003/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860001/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860023/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860022/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860021/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860020/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860019/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860018/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860016/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860014/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860013/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO, URUTAÍ - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860011/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.452.826/0001-05","SOLO E TETO CONSTRUTORA E INCORPORADORA LTDA","PIRES DO RIO - GO","AREIA, CASCALHO","Demais substâncias, Demais substâncias","Sim","09/05/2000"
"Gerência Regional / GO","860369/2004","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","CAMPOS BELOS - GO, SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","11/07/2006"
"Gerência Regional / GO","760507/1996","Requerimento de Registro de Licença","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA","Demais substâncias","Sim","09/10/2003"
"Gerência Regional / GO","861386/1992","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","01.095.412/0001-15","OURO BRASIL MINERAÇÃO LTDA","FAZENDA NOVA - GO","GRANITO","Demais substâncias","Sim","15/03/2000"
"Gerência Regional / GO","861386/1992","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","01.095.412/0001-15","OURO BRASIL MINERAÇÃO LTDA","FAZENDA NOVA - GO","GRANITO","Demais substâncias","Sim","22/09/2003"
"Gerência Regional / GO","805525/1977","Requerimento de Autorização de Pesquisa","Concessão de Lavra","01.512.017/0001-90","Primavera Industria de Agua Mineral Ltda","GOIANIRA - GO","ÁGUA MINERAL","Demais substâncias","Sim","19/11/1999"
"Gerência Regional / GO","861093/1988","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","02.387.750/0001-93","MINERVERA - MINERADORA PRIMAVERA LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","15/12/1995"
"Gerência Regional / GO","860841/1981","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.726.817/0001-30","JALIM MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Balneoterapia","Sim","06/01/2016"
"Gerência Regional / GO","861680/2024","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","22.518.849/0001-94","Ggm Geométrica de Granitos e Mineração Ltda","MONTE ALEGRE DE GOIÁS - GO","CASSITERITA, MINÉRIO DE OURO, MINÉRIO DE TÂNTALO","Industrial, Industrial, Industrial","Sim","17/03/2026"
"Gerência Regional / GO","860383/2020","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","24.826.331/0001-43","PORTO RICO EXTRACAO DE AREIA LTDA","PIRENÓPOLIS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim","24/12/2020"
"Gerência Regional / GO","860588/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","27/01/2015"
"Gerência Regional / GO","860587/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","27/01/2015"
"Gerência Regional / GO","860523/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","860522/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","860496/1992","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","860958/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","860939/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","860938/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","860876/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","860875/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim","17/05/2013"
"Gerência Regional / GO","801526/1975","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","PLANALTINA - GO","CALCÁRIO","Demais substâncias","Sim","31/10/1995"
"Gerência Regional / GO","860582/1997","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","CABECEIRAS - GO","CALCÁRIO","Demais substâncias","Sim","02/06/2005"
"Gerência Regional / GO","860543/2004","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","CABECEIRAS - GO","MINÉRIO DE OURO","Industrial","Sim","04/10/2005"
"Gerência Regional / GO","860369/2004","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","CAMPOS BELOS - GO, SÃO DOMINGOS - GO","MINÉRIO DE OURO","Industrial","Sim","21/07/2004"
"Gerência Regional / GO","860230/2009","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","PADRE BERNARDO - GO","CALCÁRIO","Corretivo de solo","Sim","07/12/2009"
"Gerência Regional / GO","860202/2004","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","DIVINÓPOLIS DE GOIÁS - GO","CALCÁRIO, MINÉRIO DE OURO","Industrial, Industrial","Sim","19/09/2005"
"Gerência Regional / GO","814093/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","PLANALTINA - GO","CALCÁRIO DOLOMÍTICO","Demais substâncias","Sim","31/10/1995"
"Gerência Regional / GO","861026/2000","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","PLANALTINA - GO","CALCÁRIO","Industrial","Sim","01/04/2005"
"Gerência Regional / GO","860963/1995","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","DIVINÓPOLIS DE GOIÁS - GO, SÃO DOMINGOS - GO","CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO, FOSFATO","Corretivo de solo, Corretivo de solo, Demais substâncias","Sim","13/03/1998"
"Gerência Regional / GO","860915/2005","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Industrial","Sim","25/04/2006"
"Gerência Regional / GO","860666/2004","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","26.970.103/0001-78","BRITACAL IND E COM DE BRITA E CALCARIO BRASILIA LTDA","CABECEIRAS - GO","MINÉRIO DE OURO","Industrial","Sim","04/10/2005"
"Gerência Regional / GO","760507/1996","Requerimento de Registro de Licença","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA","Demais substâncias","Sim","04/08/2006"
"Gerência Regional / GO","803603/1973","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.162.123/0001-29","MINERACAO PEDRA LINDA LTDA","CAVALCANTE - GO","BERILO, ESTANHO, MOSCOVITA","Demais substâncias, Gema, Industrial","Sim","02/09/1996"
"Gerência Regional / GO","860561/1988","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.707.400/0001-31","Thermas de Goiás Mineradora Ltda.","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","21/10/1996"
"Gerência Regional / GO","861090/1987","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.822.452/0001-59","PEDREIRA GOIAS LTDA","ABADIÂNIA - GO","XISTO, XISTO","Brita, Demais substâncias","Sim","06/03/1998"
"Gerência Regional / GO","860017/2001","Requerimento de Autorização de Pesquisa","Concessão de Lavra","01.005.875/0001-49","PEDREIRA ITAUNA LTDA","APARECIDA DE GOIÂNIA - GO, HIDROLÂNDIA - GO","XISTO","Brita","Sim","06/06/2001"
"Gerência Regional / GO","807641/1975","Requerimento de Autorização de Pesquisa","Concessão de Lavra","01.059.930/0001-83","CALCARIO SANTA TEREZA LTDA","FORMOSO - GO","CALCÁRIO","Demais substâncias","Sim","22/06/1989"
