intensity_id,mineral_id,mineral_name,company_id,empresa,operation_id,processos_anm,operacao,municipio,nivel,tecnologia,rota_tecnologica,tecnologia_status,ramo_atividade_ccee,project_id,produto,production_basis,producao_valor,producao_unidade,production_t,ano_producao,energy_mwh,ano_energia,cargas_ccee,energy_intensity_mwh_t,unidade,intensidade_valor,intensidade_unidade,natureza_dado,valor_observado_estimado,natureza_energia,natureza_producao,compatibilidade_temporal,confianca,year,periodo_referencia,source_id,source_url,fonte_producao,fonte_producao_url,tipo_fonte,data_acesso,metodo_estimacao,erro_estimativa_intervalo,checagem_ccee_bruta,status_validacao,responsavel_validacao,usar_no_motor,observacao,versao_base
INT_011,MIN_020,Monazita e Terras-Raras,COM_CNPJ_08842895,Serra Verde,OPE_861427_2010,861427/2010; 861426/2010,"Pela Ema, Minaçu",Minaçu,operacao_empresa,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS,,Óxidos de terras raras,exportacao,678.0,t TREO,678.0,2025,6818.516,2025,Mineracao Serra Verd,10.056808,MWh/t,10.0568,MWh/t,estimado,estimado,observado,exportacao_declarada,mesmo_ano,baixa,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Agência Pública / Governo de Goiás,https://apublica.org/2026/04/terras-raras-mineradora-em-goias-vira-negocio-bilionario/,oficial; imprensa,2026-09-21,"denominador = exportacao declarada, não produção medida do ano",,"jun–dez/2025 no arquivo bruto: 3,702 MWh em 7 meses; anualizado 6,347 MWh (-6.9% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,"não — base 'exportacao' fora do vocabulário do motor (rom, beneficiada, conteudo_mineral)","678 t embarcadas para a China em 2025; a ANM registra 325,8 t beneficiadas",v1
INT_012,MIN_022,Níquel,COM_CNPJ_42184226,Anglo American Níquel,AGG_COM_CNPJ_42184226_NI,960146/2003; 960795/1982,Barro Alto + Codemin (Niquelândia),Barro Alto; Niquelândia,titular_mineral_ano,metalurgia_forno_eletrico_ferroniquel,Metalurgia: forno elétrico reduzindo laterita a ferroníquel,"texto do Panorama Mineração Goiás (Squad 1), seção de coeficientes energéticos",METALURGIA E PRODUTOS DE METAL,,ferroníquel (produção beneficiada ANM),beneficiada,153203.368047,t,153203.368047,2025,1788502.568,2025,ANGLO AMERICAN BARRO; ANGLO AMERICAN (CODE,11.674042,MWh/t,11.674042,MWh/t,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,baixa,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 97.7% da produção beneficiada do mineral em Goiás,entre 11.4458 e 11.6740 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 1,041,682 MWh em 7 meses; anualizado 1,785,741 MWh (-0.2% contra os 12 meses do painel)",estimativa_com_alerta_09c,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor",v1
INT_013,MIN_011,Cobre,COM_CNPJ_86902053,Mineração Maracá (Lundin),OPE_808923_1974,808923/1974; 860273/2003,"Mina Chapada, Alto Horizonte",Alto Horizonte,titular_mineral_ano,flotacao_concentrado,Concentra por flotação e embarca o concentrado (sem metalurgia local),"texto do Panorama Mineração Goiás (Squad 1), seção de coeficientes energéticos",EXTRAÇÃO DE MINERAIS METÁLICOS,,concentrado de cobre (produção beneficiada ANM),beneficiada,202502.52,t,202502.52,2025,356534.522,2025,MARACA MINERACAO; MARACÁ MINERAÇÃO - A,1.760642,MWh/t,1.760642,MWh/t,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,média,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 100.0% da produção beneficiada do mineral em Goiás,entre 1.7606 e 1.7606 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 214,272 MWh em 7 meses; anualizado 367,323 MWh (+3.0% contra os 12 meses do painel)",estimativa,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor",v1
INT_014,MIN_021,Nióbio,COM_CNPJ_26108898,CMOC Brasil,OPE_803343_1973,801244/1968; 801560/1968; 803343/1973; 804513/1968; 860402/2001,Boa Vista (Ouvidor) + Catalão,Catalão; Ouvidor,titular_mineral_ano,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS; METALURGIA E PRODUTOS DE METAL,,nióbio beneficiado (ANM),beneficiada,3280804.6,t,3280804.6,2025,108259.462,2025,CMOC BRASIL - NIOBIO; CMOC NIOBIO - UC 218; NIOBIO MINA CATALAO,0.032998,MWh/t,0.032998,MWh/t,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,média,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 100.0% da produção beneficiada do mineral em Goiás,entre 0.0330 e 0.0330 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 63,733 MWh em 7 meses; anualizado 109,256 MWh (+0.9% contra os 12 meses do painel)",estimativa,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor; no nióbio a massa beneficiada da ANM (3280805 t) é da ordem de 300× as 10348 t de Nb declaradas pela empresa: é massa processada, não Nb contido",v1
INT_015,MIN_049,Fosfato,COM_CNPJ_26108898,CMOC Brasil (Copebrás),OPE_801244_1968,801244/1968; 801560/1968; 804513/1968; 860402/2001,Boa Vista (Ouvidor) + Catalão,Catalão; Ouvidor,titular_mineral_ano,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,MINERAIS NÃO-METÁLICOS,,fosfato beneficiado (ANM) — Copebrás,beneficiada,1011949.318932,t,1011949.318932,2025,170994.942,2025,COPEBRAS OUVIDOR,0.168976,MWh/t,0.168976,MWh/t,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,baixa,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 40.3% da produção beneficiada do mineral em Goiás,entre 0.1690 e 0.3043 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 96,173 MWh em 7 meses; anualizado 164,867 MWh (-3.6% contra os 12 meses do painel)",estimativa,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor",v1
INT_016,MIN_049,Fosfato,COM_CNPJ_33931486,Mosaic Fertilizantes,OPE_801562_1968,801562/1968; 9291/1967,Complexo de Catalão,Catalão,titular_mineral_ano,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,MINERAIS NÃO-METÁLICOS,,fosfato beneficiado (ANM),beneficiada,1499305.061068,t,1499305.061068,2025,133484.837,2025,MOSAIC FERTILIZANTES,0.089031,MWh/t,0.089031,MWh/t,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,baixa,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 59.7% da produção beneficiada do mineral em Goiás,entre 0.0685 e 0.0890 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 77,311 MWh em 7 meses; anualizado 132,533 MWh (-0.7% contra os 12 meses do painel)",estimativa,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor",v1
INT_017,MIN_023,Ouro,COM_CNPJ_42799486,Amarillo Mineração (Hochschild),OPE_861241_1980,860952/1980; 861241/1980; 862000/1984,Mara Rosa — mina Posse,Mara Rosa,titular_mineral_ano,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS,,ouro beneficiado (ANM),beneficiada,1.407831,t,1.407831,2025,82715.015,2025,Hochschild Amarillo,58753.511983,MWh/t,58.753512,MWh/kg,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,baixa,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 41.4% da produção beneficiada do mineral em Goiás,entre 37465.2986 e 58753.5120 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 39,065 MWh em 7 meses; anualizado 66,969 MWh (-19.0% contra os 12 meses do painel)",estimativa_com_alerta_09c,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor",v1
INT_018,MIN_033,Amianto,COM_CNPJ_15104599,SAMA Minerações Associadas,OPE_850037_1975,850037/1975,"Mina Cana Brava, Minaçu",Minaçu,titular_mineral_ano,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,MINERAIS NÃO-METÁLICOS,,amianto beneficiado (ANM),beneficiada,179184.3,t,179184.3,2025,55716.005,2025,SAMA-MINACU-GO,0.310942,MWh/t,0.310942,MWh/t,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,média,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 100.0% da produção beneficiada do mineral em Goiás,entre 0.3109 e 0.3109 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 33,298 MWh em 7 meses; anualizado 57,082 MWh (+2.5% contra os 12 meses do painel)",estimativa,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor",v1
INT_019,MIN_020,Monazita e Terras-Raras,COM_CNPJ_08842895,Serra Verde,OPE_861427_2010,861426/2010; 861427/2010,"Pela Ema, Minaçu",Minaçu,titular_mineral_ano,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS,,terras raras beneficiadas (ANM),beneficiada,325.77,t,325.77,2025,6818.516,2025,Mineracao Serra Verd,20.93046,MWh/t,20.93046,MWh/t,estimado,estimado,observado,estimado (rateio CFEM do Squad 1),mesmo_ano,média,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_ANM_PROD_BENEF; SRC_ANM_CFEM,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo; https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv; https://dadosabertos.anm.gov.br/CFEM/CFEM_Arrecadacao_2022_2026.csv,"Squad 1 — aba 12 (interface_squad1_squad2.csv, v17)",,oficial,2026-09-21,energia 2025 da CCEE ÷ soma da produção beneficiada 2025 que a aba 12 atribui ao titular (rateio do total do AMB pela participação na CFEM em R$); o titular responde por 100.0% da produção beneficiada do mineral em Goiás,entre 20.9305 e 20.9305 MWh/t (denominador rateado por R$ × por t da CFEM),"jun–dez/2025 no arquivo bruto: 3,702 MWh em 7 meses; anualizado 6,347 MWh (-6.9% contra os 12 meses do painel)",estimativa,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"a produção da ANM é de produto beneficiado (concentrado, liga), não de metal contido; base compatível com a série production_t usada pelo motor",v1
INT_020,MIN_011,Cobre,,,AGG_GO_MIN_011,,agregado de Goiás (parâmetro do motor),,benchmark_mineral,nao_especificada,,,,,,conteudo_mineral,,,,,,,,11.2,MWh/t,11.2,MWh/t,benchmark,benchmark,benchmark,benchmark,não se aplica,não informada,,não informado,SRC_FGV_EPGE_001,Squad 2/modello_reale/parameters/energy_intensity.csv,,,setorial,2026-09-21,,,,benchmark_nao_validado,Squad 2 / Estudante 2 — Sarah Lattouf,não — benchmark que já está no motor,copiado sem alteração de Squad 2/modello_reale/parameters/energy_intensity.csv (data_nature=benchmark_proxy),v1
INT_021,MIN_005,Alumínio (Bauxita),,,AGG_GO_MIN_005,,agregado de Goiás (parâmetro do motor),,benchmark_mineral,nao_especificada,,,,,,beneficiada,,,,,,,,1.4,MWh/t,1.4,MWh/t,benchmark,benchmark,benchmark,benchmark,não se aplica,não informada,,não informado,SRC_FGV_EPGE_001,Squad 2/modello_reale/parameters/energy_intensity.csv,,,setorial,2026-09-21,,,,benchmark_nao_validado,Squad 2 / Estudante 2 — Sarah Lattouf,não — benchmark que já está no motor,copiado sem alteração de Squad 2/modello_reale/parameters/energy_intensity.csv (data_nature=benchmark_proxy),v1
INT_022,MIN_022,Níquel,,,AGG_GO_MIN_022,,agregado de Goiás (parâmetro do motor),,benchmark_mineral,nao_especificada,,,,,,beneficiada,,,,,,,,45.551351,MWh/t,45.551351,MWh/t,benchmark,benchmark,benchmark,benchmark,não se aplica,não informada,,não informado,SRC_FGV_EPGE_001,Squad 2/modello_reale/parameters/energy_intensity.csv,,,setorial,2026-09-21,,,,benchmark_nao_validado,Squad 2 / Estudante 2 — Sarah Lattouf,não — benchmark que já está no motor,copiado sem alteração de Squad 2/modello_reale/parameters/energy_intensity.csv (data_nature=benchmark_proxy),v1
INT_023,MIN_049,Fosfato,,,AGG_GO_MIN_049,,agregado de Goiás (parâmetro do motor),,benchmark_mineral,nao_especificada,,,,,,beneficiada,,,,,,,,0.15,MWh/t,0.15,MWh/t,benchmark,benchmark,benchmark,benchmark,não se aplica,não informada,,não informado,SRC_FGV_EPGE_001,Squad 2/modello_reale/parameters/energy_intensity.csv,,,setorial,2026-09-21,,,,benchmark_nao_validado,Squad 2 / Estudante 2 — Sarah Lattouf,não — benchmark que já está no motor,copiado sem alteração de Squad 2/modello_reale/parameters/energy_intensity.csv (data_nature=benchmark_proxy),v1
INT_024,MIN_033,Amianto,,,AGG_GO_MIN_033,,agregado de Goiás (parâmetro do motor),,benchmark_mineral,nao_especificada,,,,,,beneficiada,,,,,,,,0.32,MWh/t,0.32,MWh/t,benchmark,benchmark,benchmark,benchmark,não se aplica,não informada,,não informado,SRC_FGV_EPGE_001,Squad 2/modello_reale/parameters/energy_intensity.csv,,,setorial,2026-09-21,,,,benchmark_nao_validado,Squad 2 / Estudante 2 — Sarah Lattouf,não — benchmark que já está no motor,copiado sem alteração de Squad 2/modello_reale/parameters/energy_intensity.csv (data_nature=benchmark_proxy),v1
