processo_anm;minerais;anos;production_t_rom_estimada;production_t_beneficiada_estimada;company_ids;municipality_ids;na_aba_03_sigmine;versao_planilha
960440/2012;Areia;2023-2025;65987.799;7504.785;COM_NAO_IDENTIFICADO;5215306;não;v16
960449/2012;Areia;2023-2025;65165.8;7411.3;COM_NAO_IDENTIFICADO;5215306;não;v16
960952/2016;Areia;2023-2025;64587.57;9301.719;COM_NAO_IDENTIFICADO;5204508;não;v16
860357/1999;Níquel;2025-2025;63228.656;3682.262;COM_NAO_IDENTIFICADO;5203203;não;v16
960401/2012;Areia;2023-2025;62247.463;7079.398;COM_NAO_IDENTIFICADO;5215306;não;v16
960432/2012;Areia;2023-2025;62118.025;7064.676;COM_NAO_IDENTIFICADO;5212501;não;v16
960436/2012;Areia;2023-2025;61813.574;7030.053;COM_NAO_IDENTIFICADO;5212501;não;v16
960481/2010;Dolomito e Magnesita;2022-2025;59515.543;100788.83;COM_NAO_IDENTIFICADO;5216452;não;v16
961006/2016;Calcário;2022-2022;57238.076;43283.06;COM_NAO_IDENTIFICADO;5204409;não;v16
960434/2012;Areia;2023-2025;54736.591;6225.188;COM_NAO_IDENTIFICADO;5212501;não;v16
960431/2012;Areia;2023-2025;53170.886;6047.118;COM_NAO_IDENTIFICADO;5212501;não;v16
960433/2012;Areia;2023-2025;52603.6;5982.6;COM_NAO_IDENTIFICADO;5212501;não;v16
961369/2012;Areia;2022-2022;52528.86;11050.744;COM_NAO_IDENTIFICADO;5221908;não;v16
960435/2012;Areia;2023-2025;51898.09;5902.364;COM_NAO_IDENTIFICADO;5212501;não;v16
960439/2012;Areia;2023-2025;51453.589;5851.811;COM_NAO_IDENTIFICADO;5215306;não;v16
960784/2015;Areia;2023-2023;51031.297;12762.436;COM_NAO_IDENTIFICADO;5218052;não;v16
960452/2012;Areia;2023-2025;49610.861;5642.238;COM_NAO_IDENTIFICADO;5215306;não;v16
961307/2009;Rochas (Britadas) e Cascalho;2022-2024;49070.088;43481.164;COM_NAO_IDENTIFICADO;5201405;não;v16
960403/2012;Areia;2023-2025;46320.523;5268.028;COM_NAO_IDENTIFICADO;5215306;não;v16
960664/2016;Areia;2023-2023;42614.605;10657.503;COM_NAO_IDENTIFICADO;5205406;não;v16
960664/2014;Dolomito e Magnesita;2025-2025;40057.494;42190.536;COM_NAO_IDENTIFICADO;5218805;não;v16
961214/2009;Manganês;2022-2025;38455.688;38208.787;COM_NAO_IDENTIFICADO;5205307;não;v16
960983/2016;Areia;2022-2023;35690.326;8075.837;COM_NAO_IDENTIFICADO;5208004;não;v16
960496/2022;Areia;2024-2025;33751.723;3372.938;COM_NAO_IDENTIFICADO;"5205901; 5212907";não;v16
960795/1982;Níquel;2022-2025;32755.952;1472.428;COM_CNPJ_42184226;5214606;não;v16
960396/2012;Areia;2023-2025;30333.834;3449.863;COM_NAO_IDENTIFICADO;5217401;não;v16
960457/2012;Areia;2023-2025;30331.147;3449.558;COM_NAO_IDENTIFICADO;5217401;não;v16
960456/2012;Areia;2023-2025;29997.866;3411.653;COM_NAO_IDENTIFICADO;5217401;não;v16
960399/2012;Areia;2023-2025;26429.172;3005.787;COM_NAO_IDENTIFICADO;5217401;não;v16
962007/2011;Areia;2024-2024;26300.922;2167.108;COM_NAO_IDENTIFICADO;5204904;não;v16
961289/2009;Calcário;2022-2023;24163.673;18946.928;COM_NAO_IDENTIFICADO;5213905;não;v16
960644/2016;Calcário;2022-2022;22833.498;17266.542;COM_NAO_IDENTIFICADO;5217609;não;v16
860048/2014;Areia;2022-2022;22417.053;4715.981;COM_NAO_IDENTIFICADO;5220603;não;v16
860982/2015;Areia;2022-2024;19486.077;4252.93;COM_NAO_IDENTIFICADO;5215603;não;v16
960851/2018;Areia;2023-2023;19193.219;4800.039;COM_NAO_IDENTIFICADO;5215603;não;v16
963011/2008;Rochas Ornamentais;2022-2022;18362.583;0.0;COM_NAO_IDENTIFICADO;5209200;não;v16
960955/2016;Dolomito e Magnesita;2022-2022;17000.792;32189.466;COM_NAO_IDENTIFICADO;5222302;não;v16
960792/2016;Areia;2023-2023;14458.383;3615.902;COM_NAO_IDENTIFICADO;5220207;não;v16
960647/2016;Calcário;2022-2022;14165.343;10711.74;COM_NAO_IDENTIFICADO;5204003;não;v16
960649/2016;Calcário;2022-2022;13773.91;10415.741;COM_NAO_IDENTIFICADO;5208301;não;v16
960479/2010;Calcário;2022-2022;11723.841;8865.492;COM_NAO_IDENTIFICADO;5208004;não;v16
961429/2015;Areia;2024-2024;11579.678;954.127;COM_NAO_IDENTIFICADO;5215603;não;v16
861440/2016;Areia;2022-2022;10561.327;2221.836;COM_NAO_IDENTIFICADO;5213905;não;v16
961426/2015;Areia;2024-2024;8941.448;736.745;COM_NAO_IDENTIFICADO;5215603;não;v16
961275/2010;Rochas (Britadas) e Cascalho;2022-2022;8684.136;7112.311;COM_NAO_IDENTIFICADO;5204102;não;v16
860016/2002;Rochas (Britadas) e Cascalho;2022-2022;8123.59;6653.224;COM_NAO_IDENTIFICADO;5220405;não;v16
960790/2016;Areia;2022-2022;7230.047;1521.019;COM_NAO_IDENTIFICADO;5208608;não;v16
960072/2007;Dolomito e Magnesita;2022-2022;7224.203;13678.377;COM_NAO_IDENTIFICADO;5222302;não;v16
961900/2011;Rochas Ornamentais;2022-2025;6291.95;0.0;COM_NAO_IDENTIFICADO;5217203;não;v16
960954/2016;Dolomito e Magnesita;2022-2022;5751.764;10890.445;COM_NAO_IDENTIFICADO;5209408;não;v16
861347/2004;Argilas;2022-2024;4904.305;162.219;COM_NAO_IDENTIFICADO;5207501;não;v16
961428/2015;Areia;2024-2024;4436.828;365.58;COM_NAO_IDENTIFICADO;5215603;não;v16
961179/2015;Argilas;2024-2024;3857.407;13.313;COM_NAO_IDENTIFICADO;5217401;não;v16
962066/2011;Rochas Ornamentais;2022-2025;3300.341;0.0;COM_NAO_IDENTIFICADO;5217203;não;v16
860904/2017;Areia;2022-2023;3271.435;698.563;COM_NAO_IDENTIFICADO;5218805;não;v16
860019/2001;Rochas (Britadas) e Cascalho;2024-2024;3096.632;3140.308;COM_NAO_IDENTIFICADO;5220405;não;v16
862106/1995;Areia;2022-2025;2656.492;382.662;COM_CNPJ_18424895;5211503;não;v16
961061/2009;Manganês;2024-2025;2504.386;2497.333;COM_NAO_IDENTIFICADO;5220009;não;v16
860405/2017;Argilas;2025-2025;2462.2;44.957;COM_NAO_IDENTIFICADO;5204557;não;v16
961365/2009;Dolomito e Magnesita;2022-2022;2314.855;4382.97;COM_NAO_IDENTIFICADO;5216452;não;v16
960398/2016;Rochas Ornamentais - Outras;2022-2022;2286.311;0.0;COM_NAO_IDENTIFICADO;5212501;não;v16
960482/2010;Calcário;2022-2022;2190.715;1656.604;COM_NAO_IDENTIFICADO;5208004;não;v16
862826/2008;Rochas (Britadas) e Cascalho;2024-2024;2080.378;2109.72;COM_NAO_IDENTIFICADO;5200050;não;v16
860591/2018;Rochas Ornamentais - Outras;2022-2022;1660.887;0.0;COM_NAO_IDENTIFICADO;5201405;não;v16
962496/2013;Rochas Ornamentais;2022-2025;1620.768;0.0;COM_NAO_IDENTIFICADO;5203939;não;v16
860526/1996;Fosfato;2024-2024;1441.685;344.479;COM_NAO_IDENTIFICADO;5204003;não;v16
962015/2011;Rochas Ornamentais;2022-2022;1435.838;0.0;COM_NAO_IDENTIFICADO;5217302;não;v16
860975/2014;Rochas (Britadas) e Cascalho;2025-2025;1223.463;1303.402;COM_NAO_IDENTIFICADO;5201108;não;v16
860119/1999;Areia;2025-2025;1174.987;124.556;COM_NAO_IDENTIFICADO;5212907;não;v16
962016/2011;Rochas Ornamentais;2022-2022;976.714;0.0;COM_NAO_IDENTIFICADO;5217302;não;v16
861512/2009;Areia;2022-2023;907.563;196.483;COM_NAO_IDENTIFICADO;5220108;não;v16
861247/2009;Areia;2022-2022;771.286;162.259;COM_NAO_IDENTIFICADO;5203939;não;v16
860465/2001;Argilas;2024-2024;755.263;2.607;COM_NAO_IDENTIFICADO;5208707;não;v16
920475/1986;Argilas;2022-2023;568.157;24.766;COM_CNPJ_47190335;5205109;não;v16
962488/2013;Rochas Ornamentais;2023-2023;303.688;0.0;COM_NAO_IDENTIFICADO;5217302;não;v16
860349/2017;Rochas (Britadas) e Cascalho;2025-2025;94.638;100.821;COM_NAO_IDENTIFICADO;5217609;não;v16
860545/1999;Rochas Ornamentais;2022-2023;62.543;0.0;COM_NAO_IDENTIFICADO;5212006;não;v16
962221/2010;Rochas Ornamentais;2022-2022;52.034;0.0;COM_NAO_IDENTIFICADO;5217302;não;v16
861357/2006;Rochas Ornamentais;2023-2023;28.085;0.0;COM_NAO_IDENTIFICADO;5217302;não;v16
962222/2010;Rochas Ornamentais;2022-2022;24.384;0.0;COM_NAO_IDENTIFICADO;5217302;não;v16
