aba,status_aba,campo,contrato_de_dados,descricao,unidade_ou_dominio,fonte_ou_derivacao,tipo,pct_vazio,n_distintos,exemplo,observacao
01c_rochas_por_tipo_de_uso,auditoria,mineral_id,sim,"Identificador estável do mineral. Atribuído por ordenação (classe, nome) sobre as 57 categorias oficiais da ANM + subitens justificados; nunca por hash do nome. Para rochas, a categoria depende do tipo de uso declarado (ver 01c).",MIN_### (3 dígitos),Derivado — 01_dim_minerais / crosswalk 01b,texto,0.0,7,MIN_061,
01c_rochas_por_tipo_de_uso,auditoria,mineral_name,sim,Nome padronizado do mineral (campo fixado no Contrato de Dados).,texto,01_dim_minerais,texto,0.0,7,Rochas Ornamentais - Outras,
01c_rochas_por_tipo_de_uso,auditoria,regra,,"Qual regra atribuiu a categoria (uso declarado, uso majoritário da rocha em GO, rocha de categoria fixa ou sem uso informativo).",uso_declarado; uso_majoritario_da_rocha_em_GO; rocha_fixa,Derivado — regra da 01c,texto,0.0,3,uso_declarado,
01c_rochas_por_tipo_de_uso,auditoria,contagem,,Ocorrências do valor bruto na fonte.,contagem,fonte da linha,inteiro,0.0,76,3,
01c_rochas_por_tipo_de_uso,auditoria,valor_recolhido_brl,,Valor da CFEM recolhido na linha (mantido nas somas em R$).,R$ nominais,ANM CFEM (ValorRecolhido),decimal,81.6,41,406721.28,
01c_rochas_por_tipo_de_uso,auditoria,cfem_t,,"Toneladas comercializadas na CFEM para essa rocha, uso e regra (só massa, sem as linhas excluídas na 09b).",t,ANM CFEM,decimal,81.6,36,922189.2899999995,
02_dim_empresas,real,company_id,sim,Identificador estável do titular. PJ: raiz do CNPJ (agrupa matriz e filiais). PF: CPF íntegro ou sha1 do nome normalizado (CPF mascarado por LGPD). COM_NAO_IDENTIFICADO = CFEM de processo ausente do Cadastro Mineiro e do SIGMINE.,"COM_CNPJ_########, COM_CPF_###########, COM_NOME_<8 hex>, COM_NAO_IDENTIFICADO","Derivado — Cadastro Mineiro (Titular, CPF/CNPJ)",texto,0.0,5045,COM_CNPJ_42416651,
02_dim_empresas,real,razao_social,,Razão social mais frequente do titular nas fontes de título. CPF que venha dentro do nome (empresário individual) sai mascarado por LGPD: ***456789**.,texto,Cadastro Mineiro (Titular),texto,0.0,5036,NEXA RECURSOS MINERAIS S.A.,
02_dim_empresas,real,cnpj_raiz,,8 primeiros dígitos do CNPJ: identificam a empresa (o restante é o estabelecimento).,8 dígitos; vazio para PF,Cadastro Mineiro (CPF/CNPJ do titular),texto,55.0,2269,42416651,renomeada de 'cnpj_raiz (8 díg.)' na v6
02_dim_empresas,real,cnpj_completo_exemplo,,"Um CNPJ completo observado para o titular (pode haver outros, de filiais).",##.###.###/####-##,Cadastro Mineiro,texto,0.2,5010,42.416.651/0001-07,
02_dim_empresas,real,tipo_pessoa,,Natureza do titular.,PJ; indeterminado; PF,Cadastro Mineiro,texto,0.0,3,PJ,
02_dim_empresas,real,identificacao_empresa,,Como o company_id foi atribuído.,raiz_cnpj; processo do CFEM ausente do Cadastro Mineiro e do SIGMINE; nome (CPF mascarado por LGPD); nome_casado_com_raiz_cnpj; nome (sem documento),Governança — resolução de entidade,texto,0.0,5,raiz_cnpj,renomeada de 'identificacao (como o ID foi atribuído)' na v6
02_dim_empresas,real,nomes_alternativos,,Outras grafias do titular vistas nas fontes (até 3).,texto separado por ';',Cadastro Mineiro,texto,99.7,15,MINERAÇÃO CORCOVADO DE MINAS LTDA,
02_dim_empresas,real,qtd_processos,,Processos contíguos (até 100 m) do mesmo titular e mineral agrupados no projeto.,contagem,Derivado — SIGMINE (geometria),inteiro,0.0,67,194,
02_dim_empresas,real,qtd_municipios,,Municípios de Goiás onde o titular tem títulos (o titular inteiro: todos os minerais e fases).,contagem,Cadastro Mineiro,inteiro,0.0,30,47,
02_dim_empresas,real,principais_minerais,,Até 4 minerais mais citados nos títulos do titular.,texto separado por ';',Cadastro Mineiro → crosswalk 01b,texto,0.0,793,Cobre; Ouro; Níquel; Zinco,
02_dim_empresas,real,fase_predominante,,Fase processual mais frequente nos títulos do titular.,texto (fases ANM),Cadastro Mineiro (Fase Atual),texto,0.0,11,Autorização de Pesquisa,
02_dim_empresas,real,source_ids,sim,"Fontes em que o titular aparece: Cadastro Mineiro (processos e CNPJ), SIGMINE (aba 03) e CFEM (aba 11).",SRC_* separados por ';' (IDs da aba 07),Governança,texto,0.0,4,SRC_ANM_CADASTRO; SRC_ANM_SIGMINE,
02_dim_empresas,real,source_url,,"URL de cada fonte da linha, na mesma ordem de source_ids (igual a url_recurso da 07).",URL,07_dim_fontes,texto,0.0,4,https://dadosabertos.anm.gov.br/SCM/<arquivo>.csv — 13 arqui,
02_dim_empresas,real,data_acesso,,"Data do arquivo local de cada fonte, na mesma ordem de source_ids (igual a data_arquivo_local da 07).",AAAA-MM-DD,07_dim_fontes,texto,0.0,3,2026-09-10; 2026-09-10,
02_dim_empresas,real,periodo_referencia,,"Período coberto por cada fonte da linha (da 07), na mesma ordem de source_ids.",AAAA ou AAAA-MM,fonte da linha,texto,0.0,4,arquivo de 2026-09-10; arquivo de 2026-09-10,
02_dim_empresas,real,tipo_fonte,,"Tipo das fontes da linha (oficial, companhia, setorial, imprensa ou derivada), como na 07.",oficial,—,texto,0.0,1,oficial,
02_dim_empresas,real,valor_observado_estimado,,observado: registro como consta nas fontes; atributos derivados estão descritos neste dicionário.,observado,Governança,texto,0.0,1,observado,
02_dim_empresas,real,metodo_estimacao,,Método quando o valor não é observado; vazio nas linhas observadas.,texto,Governança,vazio,100.0,0,,coluna 100% vazia
02_dim_empresas,real,status_validacao,,valido; alerta_titular_nao_identificado no grupo COM_NAO_IDENTIFICADO (processos sem titular no Cadastro Mineiro).,valido; alerta_titular_nao_identificado,Governança,texto,0.0,2,valido,
02_dim_empresas,real,responsavel_validacao,,"Quem validou: as checagens automáticas do pipeline, registradas na 14b.",texto,Governança,texto,0.0,1,Squad 1 / Estudante 1 — checagens automáticas do pipeline (v,
02b_crosswalk_empresas,auditoria,fonte,,Base e recorte de onde veio o valor bruto.,Cadastro_Mineiro(GO); SIGMINE(GO); CFEM(GO),—,texto,0.0,3,Cadastro_Mineiro(GO),
02b_crosswalk_empresas,auditoria,valor_original,,Valor exatamente como aparece na fonte.,texto,fonte da linha,texto,0.0,77,AREIAS LANDY LTDA | EURIPEDES ALVES DA SILVA A GOIANA,
02b_crosswalk_empresas,auditoria,chave_normalizada,,Chave usada na resolução de entidade (raiz de CNPJ ou razão social normalizada).,texto,Derivado,texto,0.0,77,raiz 33620576,
02b_crosswalk_empresas,auditoria,contagem,,Ocorrências do valor bruto na fonte.,contagem,fonte da linha,inteiro,0.0,30,4,
02b_crosswalk_empresas,auditoria,atribuido_a,,"ID (e nome) canônico ao qual o valor foi atribuído, ou o motivo da exclusão.",texto,Derivado,texto,0.0,8,COM_CNPJ_33620576,renomeada de 'atribuído a' na v6
02b_crosswalk_empresas,auditoria,tipo_correspondencia,,"Como a correspondência foi feita, ou o achado do pente fino.","mesma_raiz_cnpj_varias_grafias (fundidas); AMBIGUO: mesmo nome, raizes de CNPJ diferentes (NAO fundidas); nome do SIGMINE sem titular equivalente no Cadastro Mineiro; processo do CFEM sem titular correspondente no Cadastro Mineiro",Derivado,texto,0.0,4,mesma_raiz_cnpj_varias_grafias (fundidas),renomeada de 'tipo_correspondência / achado' na v6
03_dim_operacoes,real,operation_id,sim,"Identificador estável do processo minerário, derivado do número canônico do processo ANM.",OPE_<número>_<ano>,Derivado — SIGMINE.PROCESSO,texto,0.0,16656,OPE_808923_1974,
03_dim_operacoes,real,processo_anm,,"Número do processo na ANM, formato canônico <número sem zeros à esquerda>/<ano>.",texto,SIGMINE.PROCESSO / CFEM (Processo + AnoDoProcesso),texto,0.0,16656,808923/1974,
03_dim_operacoes,real,company_id,sim,"Titular do processo: ponte do número do processo com o Cadastro Mineiro; reserva, nome do SIGMINE casado com raiz de CNPJ. Vazio em 858 processos sem correspondência.","COM_CNPJ_########, COM_CPF_###########, COM_NOME_<8 hex>, COM_NAO_IDENTIFICADO","Derivado — Cadastro Mineiro (Titular, CPF/CNPJ)",texto,5.2,5031,COM_CNPJ_86902053,
03_dim_operacoes,real,razao_social,,"Razão social do titular (Cadastro Mineiro pela ponte do processo; se ausente, nome do SIGMINE). CPF dentro do nome sai mascarado (LGPD).",texto,Cadastro Mineiro (Titular),texto,0.0,5292,MINERACAO MARACA INDUSTRIA E COMERCIO S/A,
03_dim_operacoes,real,identificacao_empresa,,Como o company_id foi atribuído.,ponte_processo_cadastro; sem_correspondencia; nome_sigmine_casado_com_raiz_cnpj,Governança — resolução de entidade,texto,0.0,3,ponte_processo_cadastro,
03_dim_operacoes,real,mineral_ids,,"Todos os minerais declarados no título, normalizados.",MIN_### separados por ';',SIGMINE.SUBS → crosswalk 01b,texto,2.3,50,MIN_011,
03_dim_operacoes,real,mineral_principal,,"Primeiro mineral declarado no título, normalizado.",texto,SIGMINE.SUBS → crosswalk 01b,texto,2.3,50,Cobre,
03_dim_operacoes,real,municipality_id,sim,Código IBGE do município (7 dígitos). Padrão externo estável.,52##### (7 dígitos),IBGE — malha 2025 (CD_MUN),texto,0.0,245,5200555,
03_dim_operacoes,real,municipality_name,sim,Nome oficial do município (campo fixado no Contrato de Dados).,texto,IBGE — malha 2025 (NM_MUN),texto,0.0,245,Alto Horizonte,renomeada de 'municipio_nome' na v6
03_dim_operacoes,real,municipios_intersectados,,"Todos os municípios de GO tocados pelo polígono, da maior para a menor área.",texto separado por ';',Junção espacial SIGMINE × malha IBGE,texto,0.0,1467,Alto Horizonte; Nova Iguaçu de Goiás,
03_dim_operacoes,real,qtd_municipios,,Municípios de Goiás que o polígono do processo intersecta.,contagem,Cadastro Mineiro,inteiro,0.0,5,2,
03_dim_operacoes,real,fase_atual,,Fase do processo no SIGMINE.,,SIGMINE.FASE,texto,0.0,15,CONCESSÃO DE LAVRA,
03_dim_operacoes,real,status_operacional,,Rótulo legível da categoria_mapa.,"Operação ativa (título de lavra + CFEM 2024-2026); Lavra autorizada, sem CFEM recente; Recolhe CFEM sem título de lavra; Pré-lavra (requerimento/direito de lavra); Pesquisa; Requerimento de licenciamento ou lavra garimpeira; Disponibilidade (área devolvida à ANM); Outros / não cadastrado",Derivado,texto,0.0,8,Operação ativa (título de lavra + CFEM 2024-2026),
03_dim_operacoes,real,categoria_mapa,,Classe para simbologia do mapa. 1 = título de lavra + CFEM em 2024–2026; 2 = lavra sem CFEM recente; 3 = CFEM sem título de lavra; 4 = pré-lavra; 5 = pesquisa; 6 = requerimento de licenciamento/garimpeira; 7 = disponibilidade; 8 = outros.,1_operacao_ativa; 2_lavra_sem_cfem_recente; 3_cfem_sem_titulo_de_lavra; 4_pre_lavra; 5_pesquisa; 6_requerimento_licenc_garimpeira; 7_disponibilidade; 8_outros,Derivado — SIGMINE.FASE + CFEM,texto,0.0,8,1_operacao_ativa,
03_dim_operacoes,real,cfem_2024_2026_brl,,"CFEM recolhida pelo processo em 2024–2026 (2026 parcial, até 08/2026).",R$ nominais,ANM CFEM (ValorRecolhido),decimal,94.9,811,138247716.4,
03_dim_operacoes,real,cfem_2022_2026_brl,,CFEM recolhida pelo processo em 2022–2026 (2026 parcial).,R$ nominais,ANM CFEM (ValorRecolhido),decimal,94.1,954,162771102.91,
03_dim_operacoes,real,area_ha_calculada,,"Área do polígono dissolvido, calculada em Albers equivalente sobre SIRGAS 2000.",ha,Derivado — geometria SIGMINE,decimal,0.0,11383,3000.12,
03_dim_operacoes,real,area_ha_declarada,,Soma do AREA_HA declarado no SIGMINE para as feições do processo.,ha,SIGMINE.AREA_HA,decimal,0.0,11400,3000.12,
03_dim_operacoes,real,fracao_area_em_go,,Fração da área do processo dentro do território de Goiás.,0 a 1,Junção espacial,decimal,0.0,644,1,
03_dim_operacoes,real,latitude,sim,"Latitude do ponto representativo (representative_point, sempre dentro do polígono).","graus decimais, SIRGAS 2000",Derivado — geometria,decimal,0.0,15615,-14.243141,
03_dim_operacoes,real,longitude,sim,"Longitude do ponto representativo (representative_point, sempre dentro do polígono).","graus decimais, SIRGAS 2000",Derivado — geometria,decimal,0.0,15808,-49.382884,
03_dim_operacoes,real,ultimo_evento,,Último evento processual registrado. Contém eventos com data futura (até 2028): não serve como data de extração.,texto '<código> - <descrição>',SIGMINE.ULT_EVENTO,texto,0.0,5854,3151 - BARRAGENS ANÁLISE PROCESSUAL CONCLUÍDA EM 21/08/2026,
03_dim_operacoes,real,uso_declarado,,Uso declarado da substância.,,SIGMINE.USO,texto,0.0,22,Demais substâncias,
03_dim_operacoes,real,uf_declarada_sigmine,,UF declarada no SIGMINE. NÃO é recorte territorial (há processos com UF=MG ou PA parcial/totalmente em GO) — use fracao_area_em_go.,GO; MG; MS; TO; DF; MT; BA; PA; DADO NÃO CADASTRADO,SIGMINE.UF,texto,0.0,9,GO,
03_dim_operacoes,real,qtd_feicoes_originais,,Feições do SIGMINE dissolvidas no processo (fragmentos sem sobreposição).,contagem,SIGMINE,inteiro,0.0,18,1,
03_dim_operacoes,real,geometria_reparada,,"VERDADEIRO se o polígono tinha autointerseção e foi reparado (make_valid, área inalterada).",booleano,Derivado,booleano,0.0,2,False,
03_dim_operacoes,real,source_ids,sim,"Fontes de onde vieram os valores da linha. Cada fonte entra se, e somente se, alguma coluna da linha veio dela.",SRC_* separados por ';' (IDs da aba 07),Governança,texto,0.0,4,SRC_ANM_SIGMINE; SRC_IBGE_MALHA_2025; SRC_ANM_CADASTRO; SRC_,
03_dim_operacoes,real,source_url,,"URL de cada fonte da linha, na mesma ordem de source_ids (igual a url_recurso da 07).",URL,07_dim_fontes,texto,0.0,4,https://dadosabertos.anm.gov.br/SIGMINE/PROCESSOS_MINERARIOS,
03_dim_operacoes,real,data_acesso,,"Data do arquivo local de cada fonte, na mesma ordem de source_ids (igual a data_arquivo_local da 07).",AAAA-MM-DD,07_dim_fontes,texto,0.0,3,2026-09-10; 2026-09-10; 2026-09-10; 2026-09-10,
03_dim_operacoes,real,periodo_referencia,,"Período coberto por cada fonte da linha (da 07), na mesma ordem de source_ids.",AAAA ou AAAA-MM,fonte da linha,texto,0.0,4,arquivo de 2026-09-10; arquivo de 2026-09-10; arquivo de 202,
03_dim_operacoes,real,tipo_fonte,,"Tipo das fontes da linha (oficial, companhia, setorial, imprensa ou derivada), como na 07.",oficial,—,texto,0.0,1,oficial,
03_dim_operacoes,real,valor_observado_estimado,,observado: registro como consta nas fontes; atributos derivados estão descritos neste dicionário.,observado,Governança,texto,0.0,1,observado,
03_dim_operacoes,real,metodo_estimacao,,Método quando o valor não é observado; vazio nas linhas observadas.,texto,Governança,vazio,100.0,0,,coluna 100% vazia
03_dim_operacoes,real,status_validacao,,"valido, ou os alertas das linhas de CFEM do processo na 08.",valido; alerta_processo_09c; alerta_processo_09c; quantidade_excluida_da_soma_09b; quantidade_excluida_da_soma_09b,Governança,texto,0.0,4,valido,
03_dim_operacoes,real,responsavel_validacao,,"Quem validou: as checagens automáticas do pipeline, registradas na 14b.",texto,Governança,texto,0.0,1,Squad 1 / Estudante 1 — checagens automáticas do pipeline (v,
04_dim_projetos,real,project_id,sim,"Identificador estável do projeto mineral (campo fixado no Contrato de Dados). Na camada ANM (04): PRJ_ + processo-âncora, estável enquanto o processo-âncora existir.",PRJ_<número>_<ano>,Derivado — SIGMINE (camada ANM do Radar de Projetos),texto,0.0,3377,PRJ_2019_1939,
04_dim_projetos,real,nome_projeto,,"Nome descritivo gerado (mineral — titular — município): a ANM não publica nome de projeto; o nome anunciado vem de RI, CVM ou SEMAD. CPF dentro do nome do titular sai mascarado (LGPD).",texto,RI / CVM / SEMAD,texto,0.0,2852,Cobre — MINERACAO MACEDO LTDA — Niquelândia,
04_dim_projetos,real,company_id,sim,Titular do processo-âncora pela ponte do número do processo com o Cadastro Mineiro; vazio quando só há o nome no SIGMINE.,"COM_CNPJ_########, COM_CPF_###########, COM_NOME_<8 hex>, COM_NAO_IDENTIFICADO","Derivado — Cadastro Mineiro (Titular, CPF/CNPJ)",texto,0.5,2302,COM_CNPJ_48656146,
04_dim_projetos,real,razao_social,,Razão social mais frequente do titular nas fontes de título. CPF que venha dentro do nome (empresário individual) sai mascarado por LGPD: ***456789**.,texto,Cadastro Mineiro (Titular),texto,0.0,2316,MINERACAO MACEDO LTDA,
04_dim_projetos,real,mineral_id,sim,"Identificador estável do mineral. Atribuído por ordenação (classe, nome) sobre as 57 categorias oficiais da ANM + subitens justificados; nunca por hash do nome. Para rochas, a categoria depende do tipo de uso declarado (ver 01c).",MIN_### (3 dígitos),Derivado — 01_dim_minerais / crosswalk 01b,texto,0.1,40,MIN_011,
04_dim_projetos,real,mineral_name,sim,Nome padronizado do mineral (campo fixado no Contrato de Dados).,texto,01_dim_minerais,texto,0.1,40,Cobre,
04_dim_projetos,real,municipality_id,sim,Município principal do processo-âncora (03); os demais municípios do projeto vão na observação.,52##### (7 dígitos),IBGE — malha 2025 (CD_MUN),texto,0.0,234,5214606,
04_dim_projetos,real,municipality_name,sim,Nome oficial do município (campo fixado no Contrato de Dados).,texto,IBGE — malha 2025 (NM_MUN),texto,0.0,234,Niquelândia,
04_dim_projetos,real,latitude,sim,Latitude do representative_point da união dos polígonos do projeto (sempre dentro da área).,"graus decimais, SIRGAS 2000",Derivado — geometria,decimal,0.0,3366,-14.338594,
04_dim_projetos,real,longitude,sim,Longitude do representative_point da união dos polígonos do projeto (sempre dentro da área).,"graus decimais, SIRGAS 2000",Derivado — geometria,decimal,0.0,3359,-48.381539,
04_dim_projetos,real,tipo_projeto,,"brownfield_adjacente_a_operacao = a até 500 m de operação ativa (03) do mesmo titular e mineral — candidato a expansão, a confirmar; sem_operacao_adjacente = nenhuma operação ativa do mesmo titular e mineral por perto.",sem_operacao_adjacente; brownfield_adjacente_a_operacao,Derivado — SIGMINE (geometria) + 03,texto,0.0,2,sem_operacao_adjacente,
04_dim_projetos,real,estagio,,"Estágio jurídico-minerário do processo-âncora: lavra_autorizada_sem_producao (título de lavra sem CFEM em 2024–2026), requerimento_de_lavra, direito_de_requerer_lavra (pesquisa aprovada) ou requerimento_de_licenciamento_ou_lavra_garimpeira.",lavra_autorizada_sem_producao; requerimento_de_lavra; direito_de_requerer_lavra; requerimento_de_licenciamento_ou_lavra_garimpeira,SIGMINE (FASE) + CFEM,texto,0.0,4,lavra_autorizada_sem_producao,
04_dim_projetos,real,classificacao_maturidade,,"Escala do guia (operação, expansão, construção, definido, provável, possível, sinal). A camada ANM só atribui provável, possível ou sinal; as demais exigem RI, CVM ou SEMAD (Squad 1 / Estudante 2).",texto,Critério do Radar de Projetos,texto,0.0,3,provável,
04_dim_projetos,real,criterio_classificacao,,"Regra que levou à classe: estágio, recência do último evento (3 anos antes do arquivo do SIGMINE), disputa e licenciamento ambiental.",texto,Derivado — build_projetos_04,texto,0.0,6,"título de lavra concedido, sem CFEM em 2024–2026 e com event",
04_dim_projetos,real,capacidade_t_ano,,"Capacidade anunciada. VAZIA de propósito: nenhuma fonte do Squad 1 publica capacidade (vem de RI, CVM ou SEMAD — Estudante 2).",t/ano,RI / CVM / SEMAD,vazio,100.0,0,,coluna 100% vazia
04_dim_projetos,real,capex_brl,,CAPEX anunciado. VAZIO de propósito: vem de RI ou CVM (Estudante 2).,R$,RI / CVM,vazio,100.0,0,,coluna 100% vazia
04_dim_projetos,real,ano_previsto_entrada,,"VAZIO de propósito: a ANM não publica cronograma; vem de RI, CVM ou SEMAD (Estudante 2).",AAAA,RI / CVM / SEMAD,vazio,100.0,0,,coluna 100% vazia
04_dim_projetos,real,processo_ancora,,Processo de estágio mais avançado do projeto (desempate: evento mais recente); dá o project_id.,<número>/<ano>,SIGMINE,texto,0.0,3377,2019/1939,
04_dim_projetos,real,qtd_processos,,Processos contíguos (até 100 m) do mesmo titular e mineral agrupados no projeto.,contagem,Derivado — SIGMINE (geometria),inteiro,0.0,17,2,
04_dim_projetos,real,processos_anm,,Processos que formam o projeto.,<número>/<ano> separados por ';',SIGMINE,texto,0.0,3377,2019/1939; 805985/1971,
04_dim_projetos,real,operation_ids,,operation_id dos processos do projeto (03_dim_operacoes).,OPE_… separados por ';',03_dim_operacoes,texto,0.0,3377,OPE_2019_1939; OPE_805985_1971,
04_dim_projetos,real,area_ha,,Soma das áreas calculadas dos processos do projeto (projeção Albers equivalente).,ha,SIGMINE (geometria),decimal,0.0,2225,24795.76,
04_dim_projetos,real,relatorio_final_aprovado,,sim = algum processo do projeto consta em Relatorio_de_Pesquisa_Aprovado do Cadastro Mineiro (pesquisa com relatório final aprovado).,sim | não,Cadastro Mineiro,texto,0.0,2,não,
04_dim_projetos,real,evento_licenciamento_ambiental,,sim = o último evento de algum processo do projeto cita licença ambiental ou órgão ambiental.,sim | não,SIGMINE (ULT_EVENTO),texto,0.0,2,não,
04_dim_projetos,real,operacao_adjacente,,Operações ativas (03) do mesmo titular e mineral a até 500 m do projeto.,OPE_… separados por ';',Derivado — SIGMINE (geometria) + 03,texto,95.5,137,OPE_960146_2003,
04_dim_projetos,real,data_evidencia,,Data do último evento na ANM entre os processos do projeto — a evidência mais recente.,AAAA-MM-DD,SIGMINE (ULT_EVENTO),texto,0.0,1184,2026-03-13,
04_dim_projetos,real,ultimo_evento,,"Texto do evento mais recente entre os processos do projeto (código, descrição e data).",texto '<código> - <descrição>',SIGMINE.ULT_EVENTO,texto,0.0,2158,418 - CONC LAV/RAL ANO BASE APRESENTADO EM 13/03/2026,
04_dim_projetos,real,valor_observado_estimado,,calculado: projeto e classe derivados por regra documentada a partir de registros observados da ANM.,calculado,Governança,texto,0.0,1,calculado,
