campo,contrato_de_dados,descricao,unidade_ou_dominio,fonte_ou_derivacao,tipo,pct_vazio,n_distintos,exemplo,observacao,campo_no_motor_squad2,nota_correspondencia
nivel_agregacao,,estado = total observado de Goiás (AMB); operacao = abertura estimada desse total por processo. Não somar os dois níveis.,estado; operacao,Derivado,texto,0,2,estado,,,
processo_anm,,Processo cuja CFEM define a participação no rateio (formato canônico) — identifica também processos sem poligonal (sem operation_id).,texto,SIGMINE.PROCESSO / CFEM (Processo + AnoDoProcesso),texto,13.3,932,861979/2005,,,
valor_observado_estimado,,"observado, calculado, estimado ou benchmark (Contrato de Dados §1; Entrega Avaliativa §3).",observado; estimado,Governança,texto,0,2,observado,,production_history.data_nature,observado no nível estado; estimado no nível operação
metodo_estimacao,,Preenchido nas linhas estimadas (nível operação): regra do rateio e suas premissas.,texto,Governança,texto,13.3,1,"Rateio da produção observada do AMB de Goiás (mesmo mineral,",,,
erro_estimativa_intervalo,,Nível operação: faixa entre o rateio por R$ (production_t) e o rateio pela quantidade em t da CFEM (production_t_rateio_por_t).,texto/número,Método de estimação,texto,13.3,4423,"entre 731.837,603 e 885.400,052 t (rateio por R$ × rateio pe",,,
participacao_cfem_brl,,Participação do processo na CFEM recolhida (R$) do mineral no ano em Goiás — a chave do rateio.,0 a 1,Derivado — 08 (cfem_recolhido),decimal,13.3,2236,0.4118220707891838,,,
cfem_brl_operacao,,CFEM recolhida pelo processo no mineral e ano (numerador da participação).,R$ nominais,ANM CFEM (via 08),decimal,13.3,2246,1251627.28,,,
cfem_brl_mineral_ano,,CFEM recolhida em Goiás no mineral e ano (denominador da participação).,R$ nominais,ANM CFEM (via 08),decimal,13.3,89,3039242.84,,,
production_t_rateio_por_t,,Sensibilidade: o mesmo total rateado pela quantidade comercializada em t da CFEM. Distorcida pelos erros de quantidade da CFEM (09b/09c); vazia quando a CFEM do mineral no ano não tem quantidade em t.,t,Derivado — 08 (quantidade_comercializada_cfem),decimal,13.3,3932,885400.0522358875,,,
status_validacao,,"Estado: valido ou alerta_producao_repetida (vem da 08). Operação: estimativa_conferida_no_total, ou estimativa_com_alerta_09c quando o processo está na 09c.",valido; estimativa_conferida_no_total; estimativa_com_alerta_09c; alerta_producao_repetida,Governança,texto,0,4,valido,,,
responsavel_validacao,,Quem validou o valor.,texto,Governança,texto,0,1,Squad 1 / Estudante 1 — checagens automáticas do pipeline (v,,,
periodo_referencia,,Ano de referência (AAAA).,AAAA ou AAAA-MM,fonte da linha,texto,0,16,2010,,,
tipo_fonte,,Natureza da fonte (Entrega Avaliativa 1).,oficial,—,texto,0,1,oficial,,,
source_url,,"URL de cada fonte, na mesma ordem de source_id (igual a url_recurso da 07).",URL,07_dim_fontes,texto,0,10,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,,sources.source_url,catálogo completo na aba 07
data_acesso,,"Data do arquivo local de cada fonte, na mesma ordem de source_id (igual a data_arquivo_local da 07).",AAAA-MM-DD,07_dim_fontes,texto,0,5,2026-09-10,,,
fato_ids,,"Linhas da 08 somadas no total do AMB (no nível operação, o total que foi rateado).",FATO_###### separados por ';',08_fato_producao_energia,texto,0,745,FATO_000600,,,
observacao,,"Nota da linha: por que não há abertura, subitens somados, processo sem poligonal ou titular não identificado.",texto livre,—,texto,74.8,21,antes de 2022 não há CFEM na base para abrir por operação,,,
versao_base,,Versão da planilha de onde o CSV saiu (acrescentada ao exportar).,vNN,pacote_squad2,texto,0,1,v17,,,
