"Localidade";"Variável";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Abadia de Goiás";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"";"";"209.680";"572";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"10.676";"17.081";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Cascalho ()";"";"";"";"";"";"-";"1.393";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Cascalho ()";"";"";"";"";"";"-";"15.000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Cascalho ()";"";"3.283";"3.985";" 354 ";" - ";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Águas Lindas de Goiás";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"375";"375";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alexânia";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aloândia";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Cobre (t)";"";"-";"56.039";" 63.208 ";"248.940";"67.758";"69.684";"68.299";"59.076";"60.546";"60.631";"53.000";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Horizonte";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Cascalho ()";"";"5.500";"6.950";"-";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alto Paraíso de Goiás";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Alvorada do Norte";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Cascalho ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amaralina";"Produção de Níquel (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
